""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0019660"	3112.95621126471	3.56353791146063	0.218757691190465	16.289886275852	1.16445556668557e-59	8.87315141814407e-56	"X"	"roX2"
"FBgn0013679"	2674.51924104962	1.47841569788094	0.110824964453847	13.3400962965941	1.35284670851913e-40	5.15434595945789e-37	"MT"	"ND1"
"FBgn0013678"	10171.9552274621	0.953256906965443	0.13470460517923	7.07664675381437	1.47684347986128e-12	3.75118243884765e-09	"MT"	"CYTB"
"FBgn0083004"	57.56362663302	5.28072721578233	0.932188444173948	5.6648709268884	1.47135248875852e-08	2.80292649108499e-05	"2R"	"snoRNA:Psi28S-1175b"
"FBgn0082957"	137.885767100836	4.19864009944842	0.752830899012455	5.57713572192121	2.44511099146687e-08	3.7263491509955e-05	"3R"	"snoRNA:Psi28S-3405d"
"FBgn0013674"	31159.071919753	0.609341327245405	0.124137295724341	4.9086080350784	9.17250957506722e-07	0.00116490871603354	"MT"	"COX1"
"FBgn0082959"	20.0487802784693	2.42453360496455	0.505017525704015	4.80089003165712	1.57961998251149e-06	0.0017195291809625	"3R"	"snoRNA:Psi28S-3405b"
"FBgn0035601"	489.412771107128	0.533165916266344	0.124894039749457	4.2689460388654	1.96398769782611e-05	0.0187069828217937	"3L"	"Uev1A"
"FBgn0086671"	25.9603287664919	1.95636851510127	0.468708491418643	4.1739557761796	2.99355889432264e-05	0.025345465305265	"X"	"snoRNA:Psi28S-2876"
"FBgn0262656"	890.617665399688	0.551588681026268	0.133878007823032	4.12008432150702	3.78733768489184e-05	0.0288595131588758	"X"	"Myc"
"FBgn0040765"	747.12525260663	0.446469719388174	0.116570431333271	3.83004261270795	0.000128121070240226	0.0887529595664114	"2R"	"luna"
"FBgn0024811"	207.767673554098	0.603324915845517	0.162110447578533	3.72169051938026	0.000197893472565508	0.125662355079098	"4"	"Crk"
"FBgn0039209"	840.099953290146	0.385200649996563	0.104715253253325	3.67855339149775	0.00023456059222511	0.137488593288872	"3R"	"REPTOR"
"FBgn0082966"	13.6046880169137	2.12338315623366	0.586052962632829	3.623193280509	0.000290988215114275	0.158380728512198	"3L"	"snoRNA:Psi28S-3327b"
"FBgn0011837"	842.719504134417	0.38591575942975	0.107656621046485	3.58469136109256	0.000337477051738592	0.171438342283205	"X"	"Tis11"
"FBgn0262952"	3706.46803910866	0.832237370939894	0.2344041757336	3.5504374797731	0.000384591471342364	0.17571005336884	"MT"	"ND4"
"FBgn0031453"	1798.6536039169	0.4245438265329	0.119744662929566	3.54540917437481	0.000392004056072215	0.17571005336884	"2L"	"Bacc"
"FBgn0013684"	5618.97372909535	0.832555785961077	0.239989824707835	3.46912952236469	0.000522147659795465	0.221042509313414	"MT"	"ND5"
"FBgn0046706"	152.508740135143	0.608412236855955	0.17715768286539	3.43429777933055	0.000594091163198877	0.238261824398707	"2R"	"Haspin"
"FBgn0037358"	203.761119758003	0.560092736081482	0.168034047144046	3.33320982027735	0.000858501728014815	0.268745750707646	"3R"	"elm"
"FBgn0065046"	51.2367863754543	2.88224271369929	0.862861926883053	3.3403289957536	0.000836791962116787	0.268745750707646	"X"	"snoRNA:U3:9B"
"FBgn0001297"	2778.15705117355	0.336347663957217	0.100720815889477	3.33940567286806	0.000839578586870628	0.268745750707646	"3R"	"kay"
"FBgn0262737"	341.630008785385	0.3958022618322	0.119010320531761	3.32578099162894	0.000881711780536895	0.268745750707646	"3L"	"mub"
"FBgn0266409"	335.404640740051	0.390622251293849	0.116104986015026	3.3643882549824	0.000767135422664722	0.268745750707646	"3R"	"CG45049"
"FBgn0285926"	1607.03335407725	0.340491267769825	0.102231364776708	3.3305949550172	0.000866606010422446	0.268745750707646	"X"	"Imp"
"FBgn0039920"	444.866219416796	0.432477644873668	0.131537329589736	3.28787003828161	0.00100948428294542	0.284898897631262	"4"	"CG11360"
"FBgn0013718"	312.087981777791	0.396261162804874	0.120324924950951	3.29325917274751	0.000990331406734884	0.284898897631262	"3L"	"nuf"
"FBgn0028509"	224.445290062784	0.442522632682392	0.135854504638605	3.25732763782529	0.00112466537531728	0.285740068914048	"2L"	"CenG1A"
"FBgn0264821"	70.6613750619065	0.682331183895292	0.209480556183623	3.25725306599428	0.00112496090123641	0.285740068914048	"4"	"asRNA:CR44029"
"FBgn0024921"	1085.77540636422	0.354556580966279	0.108319769361075	3.27323980707892	0.00106322230003791	0.285740068914048	"3L"	"Tnpo"
"FBgn0051324"	413.687697531829	0.359491405013417	0.113270066471672	3.17375469275745	0.0015048081206056	0.337254055265137	"3R"	"CG31324"
"FBgn0260960"	538.23263997992	0.370454637504176	0.116169631194614	3.18891119559094	0.00142809741743312	0.337254055265137	"3L"	"Baldspot"
"FBgn0266549"	108.233302726374	0.618632909115239	0.194708829171027	3.17722063118077	0.00148693869916621	0.337254055265137	"X"	"CR45102"
"FBgn0001226"	348.671117090656	0.37228965075304	0.116953899490951	3.18321708274332	0.00145648372062308	0.337254055265137	"3L"	"Hsp27"
"FBgn0039958"	296.332782725807	0.491224065902776	0.155533715900997	3.15831241513872	0.0015868539838906	0.34548078163561	"2L"	"CG12567"
"FBgn0260798"	275.455615184578	0.49514680806287	0.157255857401515	3.14867004793744	0.00164015267329045	0.347165649179811	"2R"	"Gprk1"
"FBgn0051361"	390.408150322061	0.357428970040513	0.113951452490837	3.13667761338323	0.00170873903532601	0.351907877004978	"3R"	"dpr17"
"FBgn0001086"	371.953436561275	0.33346326493764	0.107963594160135	3.08866398466723	0.00201058698927125	0.392837765596076	"2L"	"fzy"
"FBgn0261811"	1139.64248661375	0.306843233201867	0.0992942730047915	3.09024099695115	0.00199994147548519	0.392837765596076	"X"	"pico"
"FBgn0058178"	340.504447954432	0.413424425039366	0.134232481594549	3.07991344664342	0.00207060758901802	0.394450745707933	"3L"	"CG40178"
"FBgn0052767"	290.05934384082	0.426347272736919	0.139474169896136	3.05681885796068	0.00223699416171107	0.396416174703217	"X"	"CG32767"
"FBgn0028894"	173.43390050402	0.511381350531883	0.166934563742169	3.06336410548095	0.00218863584899831	0.396416174703217	"2L"	"GMF"
"FBgn0040324"	426.117225594765	0.425276601273683	0.138749198013769	3.06507430213385	0.0021761592644705	0.396416174703217	"4"	"Ephrin"
"FBgn0278608"	897.262887418673	0.300711016627304	0.0987452342506573	3.04532182144581	0.0023243145420283	0.4025290184149	"X"	"Dsp1"
"FBgn0004838"	2815.76495717229	0.272491505266784	0.0897852480270283	3.03492512695132	0.00240595407335054	0.407408223087357	"2L"	"Hrb27C"
"FBgn0001994"	566.132010122573	0.327792739951944	0.108341283470774	3.02555710483501	0.00248175535668465	0.407714893597162	"2L"	"crp"
"FBgn0033903"	77.0954224271504	0.568949573338566	0.188296774746127	3.02155771975201	0.00251477690276465	0.407714893597162	"2R"	"CG8323"
"FBgn0259984"	2679.9529687127	0.276791762016917	0.0922590775360957	3.00015748486781	0.00269840049484067	0.428371078555957	"2L"	"kuz"
"FBgn0026199"	436.867516247103	0.411681825487362	0.138966918250996	2.96244480822262	0.00305206520812482	0.474627283385941	"4"	"myo"
"FBgn0004395"	324.98122436857	0.382895642924028	0.130114114216033	2.9427679328339	0.00325292163280223	0.479968121704192	"3R"	"unk"
"FBgn0022238"	274.329003287928	0.408009981002315	0.138570705709945	2.9444172843888	0.00323563422634397	0.479968121704192	"2R"	"lolal"
"FBgn0083027"	79.1021340448693	0.673376307139874	0.228989885132842	2.9406377786042	0.00327537300900498	0.479968121704192	"X"	"snoRNA:Psi18S-531"
"FBgn0058263"	365.938197520883	0.370715086835236	0.126329530511987	2.93450854549056	0.0033407635402439	0.480313550502991	"2R"	"MFS17"
"FBgn0020622"	912.296390364478	0.269949800031684	0.0922905516886609	2.92499931024739	0.00344456986663763	0.486067081181088	"2L"	"Pi3K21B"
"FBgn0085813"	1077.38746073944	-0.383565586050303	0.131885022111901	-2.90833318225369	0.00363360978550164	0.503420119373136	"X"	"18SrRNA-Psi:CR41602"
"FBgn0040206"	417.498036050918	0.401054524278042	0.13839819106667	2.8978306810733	0.00375753386915117	0.511293001480928	"3R"	"krz"
