""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0004191"	9085.30616007216	-7.77523959599486	0.19496012966159	-39.8811778053854	0	0	"2L"	"snRNA:U2:34ABa"
"FBgn0083987"	2840.93237928258	-6.4687086470258	0.190352132121479	-33.9828536456718	3.99221443003951e-253	2.09471491144173e-249	"3L"	"snRNA:U11"
"FBgn0003930"	2628.5089964951	-5.93617871491386	0.184430218899869	-32.1865839032416	2.71942484864513e-227	9.51254812056068e-224	"2L"	"snRNA:U4:39B"
"FBgn0046696"	4922.19404031738	-4.30495727809326	0.157068310416599	-27.4081847998177	2.19083666556686e-165	5.74765999211466e-162	"3R"	"RNaseP:RNA"
"FBgn0065064"	1360.68137566865	-5.03284303105063	0.196182256655399	-25.6539154807001	3.82342811699473e-145	8.02461093194854e-142	"3R"	"snoRNA:Psi28S-291"
"FBgn0004867"	2633.27052208597	-3.18914171859	0.154981269304455	-20.5775945241812	4.35776149867893e-94	7.62172486118946e-91	"2L"	"RpS2"
"FBgn0041721"	858.546327993934	-8.58561997011938	0.429560769575745	-19.9869740865744	7.15024631285555e-89	1.07192406867295e-85	"3L"	"snRNA:U12"
"FBgn0039359"	1531.51172256822	-3.28958781587059	0.16486385340304	-19.9533599874594	1.40146170278224e-88	1.8383673886246e-85	"3R"	"RpL27"
"FBgn0065098"	11644.145379934	-3.07286610320741	0.159628117289686	-19.2501556453924	1.4073948228573e-82	1.64102236345161e-79	"3R"	"RNaseMRP:RNA"
"FBgn0013325"	1731.40261117554	-3.18204202626665	0.179259536299498	-17.7510334565981	1.69211330014039e-70	1.77570369716733e-67	"2R"	"RpL11"
"FBgn0085819"	1499.64619986553	-2.86800897204796	0.163423145622423	-17.5495885917793	5.99124208154072e-69	5.71564494578984e-66	"X"	"28SrRNA-Psi:CR41609"
"FBgn0285949"	1211.79069034356	-2.91733870730909	0.16892467689095	-17.2700564594976	7.90650210229346e-67	6.91423608845563e-64	"2R"	"RpL31"
"FBgn0033699"	1371.18853429854	-2.87448047131693	0.169253456431154	-16.9832896292204	1.0919050413979e-64	8.81419346494584e-62	"2R"	"RpS11"
"FBgn0267508"	913.80849118647	-2.94596993758246	0.182224568990504	-16.1666999894838	8.66152761186689e-59	6.49243362563794e-56	"X; Y"	"28SrRNA-Psi:CR45848"
"FBgn0034743"	1449.40405473581	-2.65577375654449	0.165489496122776	-16.0479898650134	5.90456130726455e-58	4.13083109056228e-55	"2R"	"RpS16"
"FBgn0086667"	855.700461830512	-3.18025662770681	0.200782625001731	-15.8393019698761	1.66660585476185e-56	1.09308511499193e-53	"X"	"snoRNA:Psi28S-3342"
"FBgn0002626"	1357.87161337978	-2.56267003299153	0.16390177809551	-15.6354010479264	4.17835912211387e-55	2.57927650749782e-52	"3R"	"RpL32"
"FBgn0036213"	2753.79922516322	-2.35941851041248	0.151931924206281	-15.5294453271655	2.19268152018931e-54	1.27833332627037e-51	"3L"	"RpL10Ab"
"FBgn0267519"	3347.63291308283	-2.41436581899805	0.156256714817868	-15.4512772255082	7.39631874585234e-54	4.08510362731445e-51	"X"	"28SrRNA-Psi:CR45859"
"FBgn0011272"	2293.90504519743	-2.3619496438468	0.153945910052541	-15.3427242272346	3.96212280960185e-53	2.07892583819809e-50	"2L"	"RpL13"
