""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0019660"	144315.031432881	5.83872391619507	0.217734585539308	26.8157853826166	2.11510387459054e-158	1.95139483469723e-154	"X"	"roX2"
"FBgn0082957"	15747.2590656088	5.29785050453936	0.203963736455741	25.9744727008811	9.62323489731549e-149	4.43919825813163e-145	"3R"	"snoRNA:Psi28S-3405d"
"FBgn0003930"	2295.45576720215	-4.8529501045787	0.199976157598166	-24.2676435174351	4.30671310354861e-130	1.32445783644465e-126	"2L"	"snRNA:U4:39B"
"FBgn0041721"	1054.06314535067	-5.0103588796468	0.22291587789749	-22.4764558133039	7.05522162049338e-112	1.6272868667668e-108	"3L"	"snRNA:U12"
"FBgn0086670"	3246.03612492456	4.44535071262667	0.205642155888881	21.6169233074405	1.24505714556682e-103	2.2973794449999e-100	"3L"	"snoRNA:Psi28S-2622"
"FBgn0083004"	6609.47104616478	5.58915143606308	0.259514784355201	21.5369288110119	7.02101938328107e-103	1.07959874716919e-99	"2R"	"snoRNA:Psi28S-1175b"
"FBgn0082959"	2630.94206316346	4.88838882001135	0.227086186273055	21.5265794024715	8.77781876960942e-103	1.15691651383452e-99	"3R"	"snoRNA:Psi28S-3405b"
"FBgn0263485"	3744.4375020534	4.27023657412095	0.219430219197254	19.4605674174817	2.37144816814413e-84	2.73487259991221e-81	"2R"	"scaRNA:PsiU2-55"
"FBgn0083046"	4494.12900745048	4.16336818192949	0.218661805171599	19.040216825532	7.91990931403629e-81	8.11878703681098e-78	"2R"	"snoRNA:Psi18S-1389a"
"FBgn0004191"	5186.45201507585	-4.58437958887652	0.250416704124318	-18.3070039393244	7.27648892107229e-75	6.7132886785813e-72	"2L"	"snRNA:U2:34ABa"
"FBgn0086671"	2172.82609123008	3.90422203844077	0.218967187550846	17.8301693605768	4.12170729903748e-71	3.4569883219018e-68	"X"	"snoRNA:Psi28S-2876"
"FBgn0082960"	478.49992653235	4.60325635626744	0.269913723076368	17.0545472968228	3.23368393299706e-65	2.48616399715258e-62	"3R"	"snoRNA:Psi28S-3405a"
"FBgn0065064"	3986.41184071486	-2.63359327215902	0.158479282623151	-16.617902533175	5.1710335627069e-62	3.66984274227184e-59	"3R"	"snoRNA:Psi28S-291"
"FBgn0082967"	1193.43835905548	3.35148232573064	0.218004204325413	15.3734756451206	2.46578676408895e-53	1.62495347753462e-50	"3L"	"snoRNA:Psi28S-3327a"
"FBgn0262945"	23119.5583422723	3.52146337505199	0.230551735446624	15.2740701267341	1.13840293887105e-52	7.00193700934955e-50	"X"	"CR43264"
"FBgn0083008"	563.145486004567	-3.89636553344492	0.262282893969739	-14.8555838868183	6.40078165884318e-50	3.69085072403045e-47	"X"	"snoRNA:Psi28S-1135e"
"FBgn0083020"	271.062804515405	5.22398091750962	0.353715606993019	14.7688731122704	2.32568974316884e-49	1.26216550414563e-46	"2L"	"snoRNA:Psi18S-640g"
"FBgn0261599"	39448.4207238026	2.81130264669871	0.199488669485924	14.0925429697002	4.22084344725457e-45	2.16341675802059e-42	"3R"	"RpS29"
"FBgn0083987"	2346.41786953726	-2.99014429691947	0.21464493020181	-13.930654192988	4.12559255520717e-44	2.00330089022849e-41	"3L"	"snRNA:U11"
"FBgn0262952"	40497.5213871133	3.37852487327006	0.24843205704271	13.5993917753103	4.03777302860239e-42	1.86262469809428e-39	"MT"	"ND4"
"FBgn0082966"	855.436351469661	3.44829556352135	0.261447660254374	13.1892385656324	1.01202254777367e-39	4.44615239321897e-37	"3L"	"snoRNA:Psi28S-3327b"
