""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0003930"	2295.45576720215	-5.6838166912934	0.207352595818909	-27.411360194677	2.00798376496256e-165	1.85256582155445e-161	"2L"	"snRNA:U4:39B"
"FBgn0041721"	1054.06314535067	-5.93298900168899	0.240060520299543	-24.7145552891659	7.45997268655383e-135	3.44128540030728e-131	"3L"	"snRNA:U12"
"FBgn0065064"	3986.41184071486	-3.67463155925456	0.160533991336572	-22.8900529330913	5.83699323766552e-116	1.7950699870234e-112	"3R"	"snoRNA:Psi28S-291"
"FBgn0019660"	144315.031432881	4.86567360946295	0.217742455732522	22.3460031857086	1.3204855538464e-110	3.04569992994671e-107	"X"	"roX2"
"FBgn0082957"	15747.2590656088	4.4478511071142	0.204045511392118	21.7983286021259	2.40644758270037e-105	4.44037707959873e-102	"3R"	"snoRNA:Psi28S-3405d"
"FBgn0004191"	5186.45201507585	-4.87499150806524	0.251147091779506	-19.4109016892189	6.24220041234757e-84	9.59842350071978e-81	"2L"	"snRNA:U2:34ABa"
"FBgn0083004"	6609.47104616478	4.83665960682297	0.259649382476359	18.6276568836568	1.91736425392933e-77	2.52708608667886e-74	"2R"	"snoRNA:Psi28S-1175b"
"FBgn0285991"	69784.9871731121	4.11270303347538	0.228122048282579	18.0285205416922	1.16363712709621e-72	1.3419645168237e-69	"2L"	"hpRNA:CR18854"
"FBgn0083987"	2346.41786953726	-3.85332223246103	0.216944637402121	-17.7617768228981	1.39740003666814e-70	1.43249030425558e-67	"3L"	"snRNA:U11"
"FBgn0083046"	4494.12900745048	3.55944961136627	0.218883048151417	16.2618788500421	1.8400767205336e-59	1.6976547823643e-56	"2R"	"snoRNA:Psi18S-1389a"
"FBgn0086670"	3246.03612492456	3.33739974948566	0.206447957738089	16.1658162475972	8.78663801667909e-59	7.36959294017103e-56	"3L"	"snoRNA:Psi28S-2622"
"FBgn0263485"	3744.4375020534	3.52919962361624	0.219752610509663	16.0598757640745	4.87526759438359e-58	3.74826823548192e-55	"2R"	"scaRNA:PsiU2-55"
"FBgn0083008"	563.145486004567	-4.23695518068471	0.267477679468444	-15.8404065307609	1.63758707814919e-56	1.1621829525388e-53	"X"	"snoRNA:Psi28S-1135e"
"FBgn0082959"	2630.94206316346	3.58593884939421	0.227808095159923	15.7410510231292	7.91185516491887e-56	5.21391255368154e-53	"3R"	"snoRNA:Psi28S-3405b"
"FBgn0062928"	1136.43725302491	4.29660231400989	0.277252986564268	15.4970460994977	3.6321105402647e-54	2.23399012296548e-51	"3L"	"hpRNA:CR33940"
"FBgn0262952"	40497.5213871133	3.74788113536143	0.248421250445175	15.0867976416879	1.97812733413808e-51	1.14063767404737e-48	"MT"	"ND4"
"FBgn0004838"	28948.221745491	2.63976058210534	0.185272358173094	14.2480001233595	4.61303446887131e-46	2.50352094175334e-43	"2L"	"Hrb27C"
"FBgn0261504"	130.519788883425	-4.46722426235433	0.325852519161627	-13.7093439505942	8.92612649212928e-43	4.57513572313248e-40	"3R"	"7SLRNA:CR42652"
"FBgn0266549"	1374.13659209723	2.75589258666024	0.204064164650186	13.5050296135262	1.46055012809574e-41	7.0921239377954e-39	"X"	"CR45102"
"FBgn0086659"	2400.25463508543	-2.60907307719439	0.193674664426766	-13.4714217004928	2.30386756748435e-41	1.06277410888053e-38	"2R"	"snoRNA:Psi18S-176"
"FBgn0003931"	150.39641901712	-4.716323222878	0.352957062464455	-13.3623143561633	1.00393493563686e-40	4.41062081723126e-38	"2L"	"snRNA:U4:38AB"
"FBgn0013710"	437.586071000761	4.12691283498304	0.308998699886332	13.3557611617821	1.09631743784528e-40	4.59755667343663e-38	"MT"	"trnY"
"FBgn0082997"	279.406514411468	3.7502218907652	0.28526981970031	13.1462272970376	1.7887937875621e-39	7.17539629741216e-37	"X"	"snoRNA:Psi28S-1232"
"FBgn0013680"	2286.16145716778	3.33864537867933	0.258898565936732	12.8955730851565	4.76706090083826e-38	1.83253766129724e-35	"MT"	"ND2"
"FBgn0086671"	2172.82609123008	2.81964760116557	0.220035812410326	12.8144940147627	1.36022769770715e-37	5.01978429561848e-35	"X"	"snoRNA:Psi28S-2876"
"FBgn0082960"	478.49992653235	3.46950922600404	0.272747453841718	12.7205925376575	4.54401248519953e-37	1.61242535340196e-34	"3R"	"snoRNA:Psi28S-3405a"
"FBgn0013684"	55418.8632541166	3.3026636113543	0.259874363203627	12.7086934264711	5.29110973232158e-37	1.807991792237e-34	"MT"	"ND5"
"FBgn0046696"	3703.19257393795	-2.92338521304292	0.230435283656436	-12.6863610756827	7.03805083080447e-37	2.31903774875007e-34	"3R"	"RNaseP:RNA"
"FBgn0013679"	47613.4595029	5.48680122922451	0.43969226961894	12.4787302582773	9.75295279122634e-36	3.10278422247773e-33	"MT"	"ND1"
"FBgn0262945"	23119.5583422723	2.8686607841927	0.230621299843277	12.4388371158351	1.60828284299854e-35	4.9460058365015e-33	"X"	"CR43264"
"FBgn0086665"	427.107047307614	-2.83017881703509	0.230302064478621	-12.2889858735844	1.03800024904585e-34	3.08922267667645e-32	"3R"	"snoRNA:Psi18S-1377a"
"FBgn0065098"	26103.1309419008	-3.06438157866711	0.249941689648854	-12.2603859443068	1.47794294272975e-34	4.2610942467577e-32	"3R"	"RNaseMRP:RNA"
"FBgn0037255"	1453.3387432287	2.43622465670493	0.199769765970015	12.1951619899811	3.29847423011296e-34	9.22173431727944e-32	"3R"	"Fip1"
"FBgn0053867"	1707.52899263295	2.04549698480346	0.16786402320364	12.1854400113002	3.71642052943629e-34	1.00846164131115e-31	"2L"	"His-Psi:CR33867"
"FBgn0011661"	21701.8906578435	2.06879694329433	0.169852706403031	12.1799468910754	3.97540645630668e-34	1.04791714188244e-31	"X"	"Moe"
