""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0003930"	2922.52137329368	-6.11153363686874	0.193152091221313	-31.64104306728	1.00711453644876e-219	8.82232333929118e-216	"2L"	"snRNA:U4:39B"
"FBgn0019660"	50364.7249545057	4.46442288475341	0.154523081676742	28.8916247094583	1.52126968847043e-183	6.66316123550049e-180	"X"	"roX2"
"FBgn0041721"	1380.12170676047	-6.08194663021534	0.214207666988888	-28.3927588386967	2.48437740428729e-177	7.25438202051889e-174	"3L"	"snRNA:U12"
"FBgn0065064"	4229.49938214868	-4.54833780905788	0.171371269406023	-26.5408421424579	3.27608094703774e-155	7.17461727401265e-152	"3R"	"snoRNA:Psi28S-291"
"FBgn0083987"	2386.98529463837	-4.0529571770634	0.156918127351473	-25.8284829514017	4.24601218551831e-147	7.43901334902808e-144	"3L"	"snRNA:U11"
"FBgn0034743"	5193.87983352771	-2.88785929226357	0.132959861960692	-21.7197825695497	1.33408911271922e-104	1.94777010457007e-101	"2R"	"RpS16"
"FBgn0083004"	1840.47291828893	3.86307144079256	0.182777451809394	21.1353829619043	3.76125095348925e-99	4.7069369075094e-96	"2R"	"snoRNA:Psi28S-1175b"
"FBgn0065098"	22900.2836225763	-3.43042633911031	0.166347927063453	-20.6219963162017	1.74219405141322e-94	1.90770248629748e-91	"3R"	"RNaseMRP:RNA"
"FBgn0013678"	42279.3345167056	2.961636446363	0.14517011097075	20.4011447436293	1.63346638732038e-92	1.5899072836585e-89	"MT"	"CYTB"
"FBgn0033699"	6404.33485421165	-2.80284607830872	0.141457475623905	-19.8140541243693	2.25199998294942e-87	1.97275198506369e-84	"2R"	"RpS11"
"FBgn0016726"	1895.30770833542	-2.7360131995358	0.139546979644037	-19.6063949683107	1.3636149963279e-85	1.08593339707567e-82	"2R"	"RpL29"
"FBgn0038834"	3664.17094873979	-2.5366653700757	0.130865181877671	-19.3838065532733	1.0572922125888e-83	7.71823315189822e-81	"3R"	"RpS30"
"FBgn0013325"	6230.61587887145	-2.61981107136684	0.137457229969465	-19.0590998519962	5.52166082682803e-81	3.72074991100104e-78	"2R"	"RpL11"
"FBgn0260441"	3397.79231828221	-2.82083042741469	0.148368050027528	-19.0123845861108	1.34688440427559e-80	8.42764812961009e-78	NA	NA
"FBgn0005533"	3168.9134616489	-2.48885158615312	0.132951268743064	-18.7200288472836	3.39967005293523e-78	1.98540731091417e-75	"3L"	"RpS17"
"FBgn0066084"	7452.31013137957	-2.54020515917099	0.136288458262089	-18.6384466561802	1.56726065681635e-77	8.58075209606954e-75	"2R"	"RpL41"
"FBgn0064225"	25778.3586792716	-2.10616853722881	0.113684455819699	-18.5264425293915	1.26370476488161e-76	6.51179631786056e-74	"2L"	"RpL5"
"FBgn0266019"	3652.88704788428	2.80367304094302	0.152150568578207	18.4269639419842	7.98397939423987e-76	3.88553663853007e-73	"X"	"rudhira"
"FBgn0019936"	3815.75677908217	-2.42137251175057	0.134088735708045	-18.0579859968453	6.82682573898733e-73	3.147525972291e-70	"3R"	"RpS20"
"FBgn0017579"	5081.40161345952	-2.45206380338072	0.136915247099317	-17.9093552787588	9.9683499483629e-72	4.36613727738295e-69	"3L"	"RpL14"
"FBgn0086710"	2976.96101371465	-2.72294143960645	0.152353833194468	-17.8724839573339	1.93196967484514e-71	8.05907350078257e-69	"2L"	"RpL30"
"FBgn0285949"	2941.36238544628	-2.50299154669099	0.140307742999804	-17.8392973415193	3.5007027141598e-71	1.39391617163817e-68	"2R"	"RpL31"
"FBgn0261608"	3616.7611975593	-2.2580603103168	0.126921597566755	-17.7909855659449	8.30070003845463e-71	3.1614840146462e-68	"2L"	"RpL37A"
"FBgn0039713"	9981.73692181985	-2.32035072409227	0.132038115087493	-17.5733402628076	3.94260143322896e-69	1.43904952312857e-66	"3R"	"RpS8"
"FBgn0011272"	5736.87781395722	-2.10721476566281	0.120858911354684	-17.4353280369933	4.44998910072883e-68	1.49930402009171e-65	"2L"	"RpL13"
"FBgn0036213"	6252.63619043751	-2.48948829494143	0.142770682834321	-17.4369712711283	4.3238937948107e-68	1.49930402009171e-65	"3L"	"RpL10Ab"
"FBgn0002626"	4059.26909585338	-2.30352918854454	0.133284606756314	-17.2827848962043	6.34109679053387e-67	2.05733362537321e-64	"3R"	"RpL32"
"FBgn0030136"	4472.71732061332	-2.48612906067168	0.14587314213814	-17.0430897986509	3.93388042878101e-65	1.23074259129006e-62	"X"	"RpS28b"
"FBgn0004867"	6717.68238525005	-2.51224437101479	0.148061895697651	-16.9675280677542	1.42818588037726e-64	4.31410631451888e-62	"2L"	"RpS2"
"FBgn0013674"	128888.556854899	2.6688151837001	0.158970853789788	16.7880785696046	2.98348556183471e-63	8.71177784055736e-61	"MT"	"COX1"
"FBgn0267033"	1683.79255123521	2.19221018530661	0.130741471542963	16.7675195898818	4.21750412074998e-63	1.19178503541193e-60	"X"	"mamo"
"FBgn0010408"	6358.14680509324	-2.57534955900963	0.1543348280233	-16.6867685796808	1.63588811706429e-62	4.4782437204635e-60	"3L"	"RpS9"
"FBgn0065076"	276.625193246571	-4.45618751796131	0.269980153385043	-16.5056114758404	3.34329317923109e-61	8.87492371214071e-59	"2R"	"snoRNA:185"
"FBgn0003942"	4212.12983689317	-2.326862216583	0.141228026118663	-16.4759239403935	5.46472501821557e-61	1.4079703282226e-58	"2L"	"RpS27A"
"FBgn0262952"	14188.3151781497	2.81625780600758	0.17296501901059	16.2822391609436	1.31951087679217e-59	3.30254722305698e-57	"MT"	"ND4"
"FBgn0003517"	8554.78773549873	-2.12999382005574	0.131312110397989	-16.2208482797209	3.59199291301946e-59	8.74051608834736e-57	"X"	"sta"
"FBgn0261596"	3715.22565504732	-2.08582812438229	0.13077121307211	-15.9502085771133	2.83947005928143e-57	6.72263722143387e-55	"2R"	"RpS24"
"FBgn0036825"	4712.1597147486	-2.36651481076149	0.148563884108813	-15.9292739615517	3.96939230391716e-57	9.15049383745115e-55	"3L"	"RpL26"
"FBgn0082974"	168.458285490239	-4.36156017558715	0.275213209937246	-15.8479317783535	1.45284154616394e-56	3.26330562676823e-54	"3R"	"snoRNA:Psi28S-3305c"
"FBgn0033912"	9644.46562366766	-1.97269101218406	0.125696428477802	-15.694089609972	1.66007142184999e-55	3.63555641385148e-53	"2R"	"RpS23"
"FBgn0013710"	319.06788028672	4.37157150228473	0.279676814524226	15.6307969601322	4.49150089960188e-55	9.59647509280791e-53	"MT"	"trnY"
"FBgn0034968"	4214.77102096574	-1.96062448456528	0.125704823367211	-15.5970505510188	7.6235695620937e-55	1.59005879437954e-52	"2R"	"RpL12"
"FBgn0010411"	6244.76254968478	-1.83942698078364	0.118041618136794	-15.5828682274755	9.51861092634414e-55	1.93914027243662e-52	"2R"	"RpS18"
"FBgn0011284"	8144.94352007508	-2.24452240456508	0.145583897596784	-15.4173809165462	1.25074854108203e-53	2.4901266408815e-51	"3L"	"RpS4"
"FBgn0030616"	3825.64765037226	-2.02900493243568	0.13388056194484	-15.1553362412062	6.98569922766093e-52	1.35988278298466e-49	"X"	"RpL37a"
"FBgn0020618"	5175.17733888682	-1.74236384155603	0.117257155918286	-14.8593390988456	6.05192673262218e-50	1.15249735169066e-47	"2L"	"Rack1"
"FBgn0039757"	8276.78257860377	-1.76262826268759	0.118725262560054	-14.846278076631	7.35397599697391e-50	1.37065595177641e-47	"3R"	"RpS7"
"FBgn0034138"	4217.10310784826	-2.05801321815755	0.139444402995439	-14.7586649155424	2.70584256874192e-49	4.938162687954e-47	"2R"	"RpS15"
"FBgn0005593"	7668.91265647953	-1.97130715852638	0.133774908387667	-14.7360008112562	3.78547528082465e-49	6.76750274694366e-47	"2L"	"RpL7"
"FBgn0261504"	142.741314882064	-4.99976463038784	0.342687158209882	-14.5898803343126	3.25768552050002e-48	5.62227358238975e-46	"3R"	"7SLRNA:CR42652"
"FBgn0261597"	7115.81435050065	-2.18545506253103	0.149795865127848	-14.5895553302876	3.27324146919951e-48	5.62227358238975e-46	"2L"	"RpS26"
"FBgn0082980"	271.788444328662	-3.04149381898661	0.209835490316323	-14.4946587176536	1.30951616997741e-47	2.20603108634656e-45	"2L"	"snoRNA:Psi28S-2996"
"FBgn0035753"	3037.20924328338	-2.08274218890843	0.144789626844215	-14.3846091346678	6.46422677656248e-47	1.06842691627712e-44	"3L"	"RpL18"
"FBgn0285948"	6824.97760790977	-1.98396890376458	0.138574101493141	-14.3170252044736	1.71300252912695e-46	2.77887076947261e-44	"2L"	"RpL27A"
"FBgn0083057"	150.485610232168	-4.36176780141839	0.305098598006933	-14.2962564558205	2.30900468406873e-46	3.67761473317129e-44	"3L"	"snoRNA:Psi18S-110"
"FBgn0002622"	8219.37004262518	-2.305015447277	0.162519925824764	-14.1829713223126	1.16794651945652e-45	1.82700205543555e-43	"3R"	"RpS3"
"FBgn0266414"	716.359713216684	2.19811387450445	0.155047720115608	14.1770151335696	1.27140396637975e-45	1.95394714833098e-43	"3R"	"CR45054"
"FBgn0002593"	9660.02527667668	-2.07397708192165	0.146457634342956	-14.1609352849785	1.59852380351783e-45	2.41432215841658e-43	"2L"	"RpLP1"
"FBgn0037351"	6415.96448266443	-1.77338595124246	0.125586046340194	-14.1208836723677	2.82427441729445e-45	4.12344064924989e-43	"3R"	"RpL13A"
"FBgn0039359"	4696.05867810173	-1.92570463986112	0.13636163043522	-14.1220417628839	2.77823643216741e-45	4.12344064924989e-43	"3R"	"RpL27"
"FBgn0004403"	1896.28910732335	-1.85861237240192	0.131937263303243	-14.0870920456347	4.55953465675212e-45	6.54779075297517e-43	"X"	"RpS14a"
"FBgn0267508"	1208.89021117966	-2.76992335688239	0.196704951765824	-14.0816147840547	4.92709380058738e-45	6.96150672470088e-43	"X; Y"	"28SrRNA-Psi:CR45848"
"FBgn0029785"	6574.94086925299	-1.68876052618328	0.120845056002221	-13.9745934343581	2.2278217834385e-44	3.09773314649544e-42	"X"	"RpL35"
"FBgn0000100"	5224.75355545758	-1.88548909408431	0.135258759231073	-13.9398668507907	3.62616062097227e-44	4.9633073499558e-42	"3L"	"RpLP0"
"FBgn0037686"	3486.61384159643	-1.86650750155035	0.134775769910826	-13.8489841518644	1.29023852212961e-43	1.73884453136236e-41	"3R"	"RpL34b"
"FBgn0086603"	120.163402422559	-4.43946725214505	0.322105024411004	-13.782669985552	3.24061462285161e-43	4.30117940851214e-41	"2R"	"snoRNA:Or-CD2"
"FBgn0085819"	1815.42588136481	-2.68466836021359	0.194816904629541	-13.780469232476	3.34093561213983e-43	4.36814865109625e-41	"X"	"28SrRNA-Psi:CR41609"
"FBgn0010409"	6487.27133609919	-1.74411664320602	0.126901911715335	-13.7438169341247	5.54724233470389e-43	7.14615336058913e-41	"2R"	"RpL18A"
"FBgn0039406"	715.772174780813	-2.23622735091139	0.163153590109345	-13.7062711854068	9.31219887924144e-43	1.18224437945152e-40	"3R"	"RpL34a"
"FBgn0028737"	3344.72864270541	-1.77393872620786	0.13081782867955	-13.5603743321048	6.87841645527963e-42	8.60784687832137e-40	"2R"	"eEF1beta"
"FBgn0086472"	6600.06482900999	-1.66578293441938	0.124407057742968	-13.3897783987543	6.93874629116722e-41	8.56104471980632e-39	"3R"	"RpS25"
"FBgn0013684"	17182.6968477286	2.27924532587041	0.170935098065851	13.333980859755	1.46847783261397e-40	1.78664802968033e-38	"MT"	"ND5"
"FBgn0004838"	16777.6688387948	2.2552023487763	0.169300084244752	13.320739672616	1.75361451855069e-40	2.10433742226083e-38	"2L"	"Hrb27C"
"FBgn0000150"	1777.12539658504	-1.82077444346465	0.13697309688719	-13.2929347794788	2.54400813519846e-40	2.99956516877112e-38	"3R"	"awd"
"FBgn0023170"	2245.98789872706	-2.00187409157323	0.150604844795834	-13.2922290400887	2.56812086367391e-40	2.99956516877112e-38	"2R"	"RpL39"
"FBgn0015521"	2132.24611195451	-1.75273496571149	0.133061586335485	-13.1723588601474	1.26580102691595e-39	1.45900223628733e-37	"2L"	"RpS21"
"FBgn0262734"	3515.34873008585	2.0625247262448	0.156645008018829	13.1668717205267	1.36121902784468e-39	1.54860762128823e-37	"X"	"eIF4H1"
"FBgn0003256"	1210.50086481597	1.77295442798994	0.136575462476967	12.981500452828	1.55798200607635e-38	1.74973363759344e-36	"2R"	"rl"
"FBgn0002579"	3642.09096689001	-1.58276881784737	0.122332991089427	-12.9382009199002	2.73970235460946e-38	3.03794843371884e-36	"X"	"RpL36"
"FBgn0011661"	13262.6506533062	1.72749220330874	0.133595681794882	12.9307488093895	3.01864445259379e-38	3.3054156755902e-36	"X"	"Moe"
"FBgn0037255"	896.759352950858	2.21518336112649	0.171350384795656	12.9277991629152	3.1366964092135e-38	3.39227907959386e-36	"3R"	"Fip1"
"FBgn0003941"	4724.22428789471	-1.50648815561191	0.116544771781811	-12.9262611490825	3.2000604227842e-38	3.4186011345841e-36	"2L"	"RpL40"
"FBgn0037328"	3530.29977521201	-1.55362079878394	0.120243825715507	-12.9205868953285	3.44503629295189e-38	3.63596601521188e-36	"3R"	"RpL35A"
"FBgn0032987"	6379.23246631238	-1.54233926887497	0.120213701729347	-12.8299790014573	1.11394363718773e-37	1.16168407878149e-35	"2L"	"RpL21"
"FBgn0261592"	6182.89881907563	-1.85696252707687	0.144872739358747	-12.8178878600375	1.30199052001412e-37	1.34181611239102e-35	"X"	"RpS6"
