""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0267910"	5538.90155925526	-1.63730999555661	0.235427966756415	-6.95461128987556	3.53535459258158e-12	3.09697062310146e-08	"X"	"CR34335"
"FBgn0058469"	2180.60577577658	-1.49413429967463	0.228435547131763	-6.54072590030307	6.12209463222993e-11	2.68147744891671e-07	"X"	"CR40469"
"FBgn0013672"	5327.49512190958	-1.22528643186254	0.208364969947705	-5.88048188795874	4.09073770645789e-09	1.1944954102857e-05	"MT"	"ATP6"
"FBgn0013681"	954.997308885796	-1.21728358786094	0.21853472250287	-5.57020675670865	2.5443721632599e-08	5.57217503753919e-05	"MT"	"ND3"
"FBgn0267033"	1683.79255123521	0.989088378300589	0.202927218812031	4.87410404622344	1.09303374545951e-06	0.00191499512204506	"X"	"mamo"
"FBgn0003963"	1133.52043735647	0.981744830619304	0.21067632476791	4.65996751984751	3.16259284692281e-06	0.00346303916738048	"2L"	"ush"
"FBgn0034300"	434.107132125073	1.22947624615356	0.262555517042132	4.6827286663196	2.83081119168184e-06	0.00346303916738048	"2R"	"CG5098"
"FBgn0004606"	5570.55803616839	0.977250200618055	0.208805136849071	4.68020191152879	2.86592526262566e-06	0.00346303916738048	"3R"	"zfh1"
"FBgn0030136"	4472.71732061332	-1.02434197687967	0.229170365549139	-4.46978375421768	7.82987197623701e-06	0.00571580654265301	"X"	"RpS28b"
"FBgn0028697"	10848.5177651307	-0.810481416573653	0.180984790510247	-4.47817418407744	7.52841634917767e-06	0.00571580654265301	"3L"	"RpL15"
"FBgn0083046"	1179.40506717307	-1.37305476318865	0.303669044015199	-4.52154999085097	6.13884578671458e-06	0.00571580654265301	"2R"	"snoRNA:Psi18S-1389a"
"FBgn0030266"	729.62375500298	1.39969464016572	0.3111989981657	4.49774789898406	6.8677062327771e-06	0.00571580654265301	"X"	"CG11122"
"FBgn0263342"	65.6255468142111	2.1079878115355	0.487210569554711	4.3266463070826	1.51396771495457e-05	0.0102018132176939	"3L"	"CR43423"
"FBgn0003396"	2072.09841477911	0.960850856773772	0.224983494792941	4.27076154034353	1.94806616414422e-05	0.0107837491960886	"2R"	"shn"
"FBgn0263485"	823.502603685267	-1.41020789930126	0.330390572538262	-4.26830550420124	1.96963455636321e-05	0.0107837491960886	"2R"	"scaRNA:PsiU2-55"
"FBgn0266549"	480.638244886969	-1.12554631210942	0.262196946306971	-4.29275141439544	1.76472547222296e-05	0.0107837491960886	"X"	"CR45102"
"FBgn0052311"	935.916126196749	0.98263098877468	0.23170434597661	4.24088285712982	2.22642318014605e-05	0.0114726276812232	"3L"	"zormin"
"FBgn0029771"	731.975321573539	-1.0565996982763	0.25437984306524	-4.15362980629451	3.27242436837277e-05	0.0145712006928962	"X"	"CG12730"
"FBgn0032518"	4305.94407621224	-0.887754905301053	0.212878586789617	-4.17024050511197	3.04278350629847e-05	0.0145712006928962	"2L"	"RpL24"
"FBgn0261836"	12263.4605098545	0.817570297277187	0.197683769253763	4.13574822234235	3.53799942113351e-05	0.0145712006928962	"2L"	"Msp300"
"FBgn0262817"	46.5914104563046	2.37479071262372	0.573362572018019	4.14186559870024	3.44492203591789e-05	0.0145712006928962	"2R"	"CG43188"
"FBgn0010078"	4532.53991277799	-0.940580346427763	0.227854157483088	-4.12799290922561	3.65943396396935e-05	0.0145712006928962	"2R"	"RpL23"
"FBgn0037328"	3530.29977521201	-0.775938872469811	0.188620160614789	-4.11376424418639	3.89258987945403e-05	0.0146545363401577	"3R"	"RpL35A"
"FBgn0013684"	17182.6968477286	-1.10693860844021	0.269549923888469	-4.10661814506102	4.0149414630569e-05	0.0146545363401577	"MT"	"ND5"
"FBgn0261599"	10636.1799621761	-0.834314568723685	0.204895187749669	-4.07190904719055	4.66293880560686e-05	0.0157105168988908	"3R"	"RpS29"
"FBgn0000535"	161.977853018503	1.41934714708397	0.348567019569824	4.07194905827759	4.66213770415149e-05	0.0157105168988908	"X"	"eag"
"FBgn0039969"	397.48238731425	-1.05395474364524	0.261275461834833	-4.03388338209694	5.48625532512816e-05	0.0177998506104158	"2R"	"Fis1"
"FBgn0016075"	8710.61024633465	0.936879512595222	0.235561892748653	3.97721168591086	6.97280876153272e-05	0.0216945634703945	"2L"	"vkg"
"FBgn0033636"	3206.78852248272	0.827337140652626	0.209226976227844	3.95425654745244	7.67729985824463e-05	0.0216945634703945	"2R"	"tou"
"FBgn0023531"	272.111867993565	1.06283015629703	0.268492728819719	3.95850629165707	7.54199547051079e-05	0.0216945634703945	"X"	"CG32809"
"FBgn0267516"	261.570554522746	-1.12212259855379	0.283065232391017	-3.96418376455265	7.36475048933119e-05	0.0216945634703945	"X"	"pre-rRNA:CR45856"
"FBgn0259246"	113.55632613123	1.49734518291206	0.381111655579143	3.92888845300905	8.53394110226642e-05	0.0226537345623799	"2R"	"brp"
"FBgn0264826"	139.003681716079	1.68689641392975	0.428617139944628	3.93567185425128	8.29642703025964e-05	0.0226537345623799	"3R"	"CR44034"
"FBgn0036929"	800.152995899685	-0.884789188467081	0.226102838853373	-3.91321574268629	9.10750964955156e-05	0.0234652307441387	"3L"	"CG7668"
"FBgn0024733"	11391.3952757744	-0.699741480137071	0.179911698916693	-3.88936063830448	0.000100508665594036	0.0245135485949673	"3L"	"RpL10"
"FBgn0004403"	1896.28910732335	-0.799834689014642	0.205676417202177	-3.8888011561793	0.000100740610664249	0.0245135485949673	"X"	"RpS14a"
"FBgn0004860"	469.181511640844	0.925434568787187	0.243508641411452	3.80041777336147	0.000144452346086155	0.0324462192747364	"X"	"ph-d"
"FBgn0082976"	158.0058806078	-1.17135200271009	0.308146468250127	-3.80128323184054	0.000143948640735928	0.0324462192747364	"3R"	"snoRNA:Psi28S-3305a"
"FBgn0010408"	6358.14680509324	-0.925850570445179	0.243167885078244	-3.80745413872095	0.000140404766426601	0.0324462192747364	"3L"	"RpS9"
"FBgn0035101"	952.008287661354	0.802807416377298	0.211645817549367	3.79316456934019	0.000148739508360087	0.032573952330859	"3L"	"p130CAS"
"FBgn0003942"	4212.12983689317	-0.837960787416321	0.221749024029924	-3.77887023892039	0.000157541486945195	0.0336600835521929	"2L"	"RpS27A"
"FBgn0064225"	25778.3586792716	-0.675638139353341	0.17954908658757	-3.76297174323869	0.000167906179482355	0.0342060030759403	"2L"	"RpL5"
"FBgn0262731"	208.663780391608	-1.09669600262535	0.291302283730535	-3.76480399872125	0.00016667977398932	0.0342060030759403	"4"	"CG33941"
"FBgn0040070"	1268.023333931	-0.771152400004365	0.206060027863878	-3.74236773622967	0.000182294485658739	0.036293174872058	"2L"	"Trx-2"
"FBgn0065076"	276.625193246571	-1.47619129305464	0.39613692511896	-3.72646728807554	0.000194182260100684	0.0364301137221894	"2R"	"snoRNA:185"
"FBgn0086710"	2976.96101371465	-0.890360735890596	0.238619473237629	-3.73129956164109	0.000190494542397198	0.0364301137221894	"2L"	"RpL30"
"FBgn0265101"	512.470942357025	-0.975986754233588	0.262022867723801	-3.72481517629361	0.000195458372710377	0.0364301137221894	"3R"	"Sgt1"
"FBgn0261617"	3891.88366467173	0.883052189078378	0.238307404682206	3.70551720898463	0.000210959804952634	0.0385001644038557	"X"	"nej"
"FBgn0003175"	471.258771581268	0.936308819171286	0.25353674796485	3.6929905691663	0.000221632245318585	0.0396224177345062	"2R"	"px"
"FBgn0013325"	6230.61587887145	-0.798070890913509	0.216415622135665	-3.68767690168512	0.000226310754477428	0.0396496441844454	"2R"	"RpL11"
"FBgn0037358"	919.525454504087	-0.825885241831819	0.225597125819956	-3.66088547817289	0.00025134509305153	0.0408745067572119	"3R"	"elm"
"FBgn0014184"	2728.39745092336	-0.742167963421065	0.202849064857316	-3.65872016192485	0.000253477933063569	0.0408745067572119	"2R"	"Oda"
"FBgn0033661"	2095.35469608319	0.847065352427665	0.232032898728418	3.6506260839292	0.000261601850830984	0.0408745067572119	"2R"	"CG13185"
"FBgn0058045"	721.92366038654	-0.806246289978574	0.220737580308186	-3.65251031950663	0.000259689156687598	0.0408745067572119	"3L"	"CG40045"
"FBgn0262952"	14188.3151781497	-0.999021783579429	0.272309940616728	-3.66869377341438	0.000243792879806767	0.0408745067572119	"MT"	"ND4"
"FBgn0011726"	3143.73043306383	-0.766577060257137	0.209226006931072	-3.66387081367796	0.000248432121151659	0.0408745067572119	"2R"	"tsr"
"FBgn0263476"	582.309082293289	-0.843967227686576	0.231453673977188	-3.64637645704322	0.000265964256296927	0.0408745067572119	"3L"	"snoRNA:CG32479-b"
"FBgn0043884"	6110.56851844532	0.821675844269405	0.225991428093983	3.63587172840774	0.000277042170978994	0.0418429209961377	"3R"	"mask"
"FBgn0066084"	7452.31013137957	-0.778594412141269	0.214435017028227	-3.63091076696107	0.000282422825479561	0.0419326093423891	"2R"	"RpL41"
"FBgn0083004"	1840.47291828893	-1.01127928947053	0.2788620185395	-3.62645043870427	0.000287343939427633	0.0419522151564344	"2R"	"snoRNA:Psi28S-1175b"
"FBgn0259228"	1082.74177962925	0.747391414568004	0.20675337143051	3.61489348104393	0.000300471137210721	0.0431496256059986	"X"	"C3G"
"FBgn0039132"	906.368861009572	-0.781825594274129	0.217106633298049	-3.6011133441548	0.000316857392583306	0.0433698556098401	"3R"	"AP-1sigma"
"FBgn0033912"	9644.46562366766	-0.71319087497146	0.198044386934181	-3.60116681927716	0.000316792217611528	0.0433698556098401	"2R"	"RpS23"
"FBgn0040324"	1273.04742117003	-0.7955349347127	0.220663782806617	-3.60519032436728	0.000311924245069732	0.0433698556098401	"4"	"Ephrin"
"FBgn0032943"	861.505137641156	-0.766105608412765	0.213098801745988	-3.59507234266834	0.000324301448450169	0.0437058567449766	"2L"	"Tsp39D"
"FBgn0024941"	62.789310373224	2.77574925362697	0.774104961096208	3.58575308663083	0.000336106859929402	0.0439447178056949	"X"	"RSG7"
"FBgn0262527"	1853.84544520257	0.777625636275991	0.216672436445604	3.58894582547059	0.000332017820735698	0.0439447178056949	"3R"	"nsl1"
"FBgn0039883"	243.30954725706	1.04523569836249	0.294635894555677	3.54755044336588	0.000388831285319703	0.0500906185205971	"3R"	"RhoGAP100F"
"FBgn0039970"	704.605823481386	-0.837997045035432	0.236528889978025	-3.54289509883248	0.000395760095076011	0.0501124586622229	"2R"	"CG17508"
"FBgn0086378"	302.028261105289	-0.931938836400509	0.263418257474368	-3.53786728883511	0.00040337274309838	0.0501124586622229	"3R"	"Alg-2"
"FBgn0261461"	2145.05441958221	0.665275906081969	0.188356927825619	3.53199594919006	0.000412435673298793	0.0501124586622229	"X"	"RhoGAP18B"
