""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0019660"	50364.7249545057	4.90212047076679	0.188406409530692	26.0188625375201	3.02978040340397e-149	2.65408763338188e-145	"X"	"roX2"
"FBgn0003930"	2922.52137329368	-5.67478636205626	0.224251075263639	-25.3055034647426	2.77840356715622e-141	1.21694076241443e-137	"2L"	"snRNA:U4:39B"
"FBgn0041721"	1380.12170676047	-5.91329226200471	0.245104119652238	-24.1256339158832	1.34582734029512e-128	3.92981583366176e-125	"3L"	"snRNA:U12"
"FBgn0083004"	1840.47291828893	4.87435073026309	0.210609694044322	23.1439998637351	1.67078059219156e-118	3.65900949689952e-115	"2R"	"snoRNA:Psi28S-1175b"
"FBgn0013678"	42279.3345167056	3.64789586312367	0.177160900363187	20.5908631963674	3.31411800493271e-94	5.8063347446421e-91	"MT"	"CYTB"
"FBgn0083987"	2386.98529463837	-3.82724357664276	0.186313263753269	-20.5419812821867	9.07826676239033e-94	1.32542694730899e-90	"3L"	"snRNA:U11"
"FBgn0262952"	14188.3151781497	3.81527958958701	0.210323127552062	18.1400858478705	1.53790759695369e-73	1.92458150704491e-70	"MT"	"ND4"
"FBgn0065064"	4229.49938214868	-3.67013692861762	0.20494065907735	-17.908290844485	1.0160797213796e-71	1.11260729491066e-68	"3R"	"snoRNA:Psi28S-291"
"FBgn0013674"	128888.556854899	3.43368040081856	0.194554900860151	17.6489021126573	1.03753584569241e-69	1.00986822314061e-66	"MT"	"COX1"
"FBgn0013684"	17182.6968477286	3.38618393431062	0.208418725663903	16.2470235029226	2.34475264679646e-59	2.0540033185937e-56	"MT"	"ND5"
"FBgn0083046"	1179.40506717307	3.56922180675176	0.232470814005733	15.3534189744083	3.36001413191124e-53	2.67579307232204e-50	"2R"	"snoRNA:Psi18S-1389a"
"FBgn0065098"	22900.2836225763	-3.00003791122386	0.203304011546953	-14.7564127652788	2.79770876579857e-49	2.04232739903296e-46	"3R"	"RNaseMRP:RNA"
"FBgn0013710"	319.06788028672	4.12521574316764	0.286747388053404	14.3862365100231	6.31394615453423e-47	4.2546283318246e-44	"MT"	"trnY"
"FBgn0263485"	823.502603685267	3.53266960965294	0.250263210132534	14.1158167346376	3.03479435941949e-45	1.89891418489391e-42	"2R"	"scaRNA:PsiU2-55"
"FBgn0016726"	1895.30770833542	-2.33566857520122	0.165866636433551	-14.0816057130147	4.9277263454556e-45	2.87779218574607e-42	"2R"	"RpL29"
"FBgn0266549"	480.638244886969	2.75186247821556	0.196187375740777	14.026705173179	1.07008822064121e-44	5.85873300801063e-42	"X"	"CR45102"
"FBgn0013681"	954.997308885796	2.18880990142987	0.162862201821987	13.4396433116034	3.54139509777315e-41	1.82486006214663e-38	"MT"	"ND3"
"FBgn0031453"	3979.42593510168	2.21207072726456	0.16496187103956	13.4095880055463	5.31331702706198e-41	2.5858142865035e-38	"2L"	"Bacc"
"FBgn0034743"	5193.87983352771	-2.15470971982847	0.161003727697288	-13.3829803237827	7.60362447514024e-41	3.5056710738015e-38	"2R"	"RpS16"
"FBgn0013672"	5327.49512190958	2.14136148676208	0.160641298890673	13.3300807547592	1.54730085633583e-40	6.77717775075094e-38	"MT"	"ATP6"
"FBgn0261504"	142.741314882064	-4.46158424591417	0.342050963950642	-13.043624243544	6.9092938238325e-39	2.88216256651298e-36	"3R"	"7SLRNA:CR42652"
"FBgn0004838"	16777.6688387948	2.63806570882012	0.20673332111162	12.7607184687744	2.71683603808285e-37	1.08179471334572e-34	"2L"	"Hrb27C"
"FBgn0011661"	13262.6506533062	2.07684117096843	0.162821845353024	12.7552980772666	2.91258550534819e-37	1.10931517508044e-34	"X"	"Moe"
"FBgn0013683"	130.290155143266	4.78474021756208	0.379341884632164	12.6132663209645	1.78441294059433e-36	6.51310723316931e-34	"MT"	"ND4L"
"FBgn0260441"	3397.79231828221	-2.25155248211596	0.17952255502057	-12.5418919191406	4.40355352193527e-36	1.54300515408612e-33	NA	NA
"FBgn0037255"	896.759352950858	2.45805953136734	0.198590155946059	12.3775497312918	3.45737585819165e-35	1.16486971222149e-32	"3R"	"Fip1"
"FBgn0001226"	2368.0273458933	2.28882282466042	0.186518080915659	12.2713187559301	1.29132796140033e-34	4.18964183032106e-32	"3L"	"Hsp27"
