""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0066084"	4387.56897980536	2.4224847528812	0.120848907435241	20.0455660236676	2.20657598316788e-89	1.86058486900715e-85	"2R"	"RpL41"
"FBgn0086661"	336.750978486705	3.72327518301695	0.210616349249788	17.6779969659487	6.19586018800933e-70	2.61217465526473e-66	"3L"	"snoRNA:Psi28S-2566"
"FBgn0058469"	1198.99568393174	2.26123019548876	0.17159500638903	13.1777156169815	1.17907194908567e-39	3.31397822489678e-36	"X"	"CR40469"
"FBgn0263476"	523.51186413505	3.76794683319272	0.295413285078277	12.7548320387633	2.9300562755633e-37	6.17655862888743e-34	"3L"	"snoRNA:CG32479-b"
"FBgn0263461"	104.179147137837	4.18978241436585	0.352852333125338	11.8740391405534	1.61478762297598e-32	2.72317784738669e-29	"3L"	"snoRNA:CG32479-a"
"FBgn0082973"	230.146051663072	5.33215255309916	0.453444142547692	11.7592268876609	6.33113483253322e-32	8.89735481798669e-29	"3L"	"snoRNA:Psi28S-3308"
"FBgn0263470"	4946.185306733	2.64508868447832	0.225901624905229	11.7090290323852	1.14584276943433e-31	1.38024946169575e-28	"3L"	"snoRNA:Tudor-SN-a"
"FBgn0086662"	363.360386580686	5.39355116177086	0.47648326063286	11.3194976768065	1.05072250486462e-29	1.10746152012731e-26	"3R"	"snoRNA:Psi28S-3186"
"FBgn0045800"	819.146937210207	1.00237832905315	0.0902057217577219	11.1121368968742	1.09507119693356e-28	1.0259600369493e-25	"2R"	"Uhg1"
"FBgn0032518"	3185.87421102651	1.07583426637427	0.0974250530997123	11.0426859636728	2.37816053594331e-28	2.0052649639074e-25	"2L"	"RpL24"
"FBgn0267910"	3318.1243166826	2.50281727907953	0.233775692691489	10.7060629369302	9.53302628667407e-27	7.30749796811234e-24	"X"	"CR34335"
"FBgn0285952"	4989.85898268943	1.09763682912383	0.103148608052119	10.6413149905931	1.91408674576546e-26	1.34496495335786e-23	"2R"	"eEF5"
"FBgn0037899"	587.510173368133	1.27504502884501	0.121770790723196	10.4708610437078	1.1756868688379e-25	7.62568590618549e-23	"3R"	"RpL24-like"
"FBgn0082967"	188.664300608978	4.31183949459767	0.412613244459432	10.450075349003	1.46408862925474e-25	8.81799665848285e-23	"3L"	"snoRNA:Psi28S-3327a"
"FBgn0020618"	3804.94509927217	-1.10318264838252	0.107049600512459	-10.3053411045109	6.66547907468569e-25	3.74688797051665e-22	"2L"	"Rack1"
"FBgn0014184"	2567.07837858115	0.751863776480101	0.0733984928709839	10.2435860338671	1.26460356897929e-24	6.66446080852085e-22	"2R"	"Oda"
"FBgn0086670"	395.819159887188	4.11663905593286	0.404998888550605	10.1645687736708	2.85382041584656e-24	1.41549492625989e-21	"3L"	"snoRNA:Psi28S-2622"
"FBgn0040010"	1005.53919625887	0.857585588364852	0.0847120543666677	10.1235366651938	4.34428141508617e-24	2.03505449400036e-21	"2L"	"CG17493"
"FBgn0086672"	384.200945296517	5.43391374252514	0.537929115205953	10.1015423573879	5.43800915665966e-24	2.41333122152391e-21	"2R"	"snoRNA:Or-aca5"
"FBgn0263474"	181.488992953703	6.96693181002717	0.690652297227415	10.0874663531788	6.27687109765955e-24	2.64632885477327e-21	"2L"	"scaRNA:PsiU2-38.40.42"
"FBgn0002183"	1765.55581647131	-0.736752078923055	0.0731905460864652	-10.0662191815413	7.79158983463814e-24	3.1285088326509e-21	"3L"	"dre4"
"FBgn0263485"	495.628777269027	3.32650952199574	0.334416016648738	9.94721950022454	2.59327585739039e-23	9.93931910432535e-21	"2R"	"scaRNA:PsiU2-55"
"FBgn0027588"	2005.45238006725	-0.728121949651419	0.0738307025829631	-9.86204822896319	6.07963301226984e-23	2.22884632867214e-20	"X"	"GCS2alpha"
