""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0065064"	2394.36954024411	-4.14956949459374	0.134987127626179	-30.7404829450492	1.63892601707825e-207	1.38194241760038e-203	"3R"	"snoRNA:Psi28S-291"
"FBgn0041721"	638.103777516206	-6.67953988419366	0.266287520444555	-25.0839388681921	7.44640378516153e-139	3.1394038358241e-135	"3L"	"snRNA:U12"
"FBgn0004191"	3024.8788843108	-5.96194135593313	0.243128594569513	-24.5217612781805	8.65745522799323e-133	2.43332208274796e-129	"2L"	"snRNA:U2:34ABa"
"FBgn0033912"	7043.5568719985	-1.41239360431299	0.0616456558406514	-22.9114863821695	3.56955499210005e-116	7.5246219233469e-113	"2R"	"RpS23"
"FBgn0003930"	1436.16437904556	-5.54044985928158	0.257016210580588	-21.556810937201	4.57036023255836e-103	7.70745549618642e-100	"2L"	"snRNA:U4:39B"
"FBgn0013678"	28846.7242719261	2.23224664286558	0.108506051812833	20.5725543006216	4.83511689834407e-94	6.7949509478062e-91	"MT"	"CYTB"
"FBgn0267508"	844.379550106321	-2.57092788261379	0.12521942693552	-20.5313819551151	1.12917457311057e-93	1.36017142863833e-90	"X; Y"	"28SrRNA-Psi:CR45848"
"FBgn0002590"	7192.48079411696	-1.13025071432305	0.0550709142836829	-20.5235509347252	1.32659778458924e-93	1.39823406495706e-90	"X"	"RpS5a"
"FBgn0284245"	61100.7046867357	-0.886727991657518	0.0435429930030325	-20.3644244573579	3.45892907454859e-92	3.2406322173993e-89	"2R"	"eEF1alpha1"
"FBgn0034138"	3199.70954606498	-1.5395327634343	0.0760199037321449	-20.2517063012711	3.43145869626774e-91	2.89340597269296e-88	"2R"	"RpS15"
"FBgn0033699"	4161.68854198421	-2.31650039390875	0.114574714603913	-20.2182514869614	6.76382288435949e-91	5.1847776873563e-88	"2R"	"RpS11"
"FBgn0000150"	1421.12149331098	-1.68800036739068	0.083705556647998	-20.1659296585187	1.95046713336864e-90	1.37052823904703e-87	"3R"	"awd"
"FBgn0085819"	1318.21103416142	-2.40059423167982	0.119326795404484	-20.117813635592	5.15307116713902e-90	3.34236123702433e-87	"X"	"28SrRNA-Psi:CR41609"
