""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0266019"	2461.0882362698	-1.77404873827497	0.125381886872314	-14.1491628697662	1.88993657443129e-45	1.59359451956047e-41	"X"	"rudhira"
"FBgn0035498"	734.086378427384	-1.2256299214414	0.0924528234401445	-13.2568144036714	4.12029689291924e-40	1.73711717005475e-36	"3L"	"Fit1"
"FBgn0066084"	4387.56897980536	1.62314529665939	0.128136107083279	12.6673529702636	8.96901288849724e-37	2.52089055586029e-33	"2R"	"RpL41"
"FBgn0040010"	1005.53919625887	0.899065945878612	0.0923967559604828	9.7304925539067	2.2350804680175e-22	3.14103308438726e-19	"2L"	"CG17493"
"FBgn0085229"	415.274858688133	1.17352687276134	0.120391999097871	9.74754868724572	1.88976219316522e-22	3.14103308438726e-19	"2R"	"CG34200"
"FBgn0011726"	3439.38148357876	0.93458120400758	0.0958965360393394	9.74572432547709	1.92401821417182e-22	3.14103308438726e-19	"2R"	"tsr"
"FBgn0267033"	1664.97491966188	-0.957403282756663	0.100405012881332	-9.53541317591594	1.49289889196438e-21	1.79830335100624e-18	"X"	"mamo"
"FBgn0039928"	2164.58138827146	0.919715018977214	0.0981812833664184	9.36751881257024	7.42575821375914e-21	7.82674915730213e-18	"4"	"Cals"
"FBgn0032518"	3185.87421102651	0.942508557011999	0.103899447338811	9.07135293933305	1.17548224531325e-19	1.10129625472015e-16	"2L"	"RpL24"
"FBgn0261461"	1878.19341633956	-0.778571301628077	0.0919415110887003	-8.4681151354686	2.49395733809487e-17	2.10290482748159e-14	"X"	"RhoGAP18B"
"FBgn0031016"	237.374704196443	-1.20482114335616	0.142745390039771	-8.44035063423402	3.16387120125053e-17	2.42525108808586e-14	"X"	"kek5"
"FBgn0036007"	5075.02238659588	0.562565260560021	0.0667606489647154	8.42659964041618	3.55854803997393e-17	2.50047308942168e-14	"3L"	"path"
