""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0024555"	2542.26969330848	-1.51152601427781	0.135359149123	-11.1667812931086	5.92906201308845e-29	4.99938508943618e-25	"3R"	"flfl"
"FBgn0259927"	481.99663038365	-1.43760683053011	0.133028436429981	-10.8067633440674	3.19753542005836e-27	1.34808093309661e-23	"X"	"CG42450"
"FBgn0002774"	861.564062958612	-1.16561139315807	0.110603602362152	-10.5386386000474	5.73226778838887e-26	1.61114939972317e-22	"2R"	"mle"
"FBgn0262743"	3909.72954457046	-0.976117515576383	0.0934166205103159	-10.4490775864515	1.47957215072454e-25	3.11893809372733e-22	"2L"	"Fs(2)Ket"
"FBgn0011474"	942.076956181122	-1.60519676190139	0.157203549566423	-10.2109447676507	1.77131618569179e-24	2.98714761555063e-21	"3R"	"PR-Set7"
"FBgn0024921"	3725.97365932495	-1.3002983148703	0.129800261164897	-10.0176864299095	1.27451411724444e-23	1.79111717276752e-20	"3L"	"Tnpo"
"FBgn0065046"	457.866594931838	-1.58773156418116	0.166543899045747	-9.53341175076631	1.52197333658976e-21	1.83332559630355e-18	"X"	"snoRNA:U3:9B"
"FBgn0261703"	1712.11358257768	-1.03762123139621	0.109661173476967	-9.46206572934541	3.01918683854357e-21	2.82864260251105e-18	"X"	"gce"
"FBgn0266019"	2461.0882362698	-1.53072729197824	0.161711875195668	-9.46576922768409	2.91408213136976e-21	2.82864260251105e-18	"X"	"rudhira"
"FBgn0027532"	1010.54703168977	-0.999201588806708	0.107843548268597	-9.26528851144696	1.94550638580038e-20	1.64045098450688e-17	"3L"	"CG7139"
"FBgn0041210"	1793.36453953709	-1.06177748404357	0.119154806193004	-8.91090773395852	5.06164264760524e-19	3.87997916405522e-16	"X"	"HDAC4"
"FBgn0262871"	427.86675406486	-1.26735147303417	0.143407755392422	-8.83739843473724	9.79732382726328e-19	6.884252875957e-16	"3R"	"lute"
"FBgn0267033"	1664.97491966188	-1.15456569039756	0.132681119565143	-8.70180847268698	3.26636521599845e-18	2.11861473086915e-15	"X"	"mamo"
"FBgn0011481"	1235.70621678712	-1.17826499071489	0.14046266662399	-8.38845665566806	4.92565605458271e-17	2.9666522751601e-14	"3R"	"Ssdp"
"FBgn0259745"	1560.08875051399	-1.19181409866467	0.142780914543876	-8.3471527162577	6.99282745623903e-17	3.9309014074005e-14	"2R"	"wech"
"FBgn0035498"	734.086378427384	-1.03191817425499	0.124354287087847	-8.29821149250777	1.0569040394322e-16	5.56988428780767e-14	"3L"	"Fit1"
"FBgn0285947"	6103.97195216682	0.794014582481697	0.0980483331131352	8.09819562730868	5.57803201840874e-16	2.76670388113074e-13	"X"	"RpS10b"
"FBgn0003218"	217.943932167525	-1.34371479111248	0.168607944040481	-7.96946311610245	1.59365183563236e-15	7.46537348780671e-13	"X"	"rdgB"
"FBgn0010894"	514.343900718674	-1.1489711927199	0.146334722572217	-7.85166481696019	4.10550513363982e-15	1.82197996246584e-12	"3L"	"sinu"
"FBgn0265297"	49994.7740943334	-0.804538981352721	0.102695536966269	-7.83421563506677	4.7177851124111e-15	1.98901820339252e-12	"2R"	"pAbp"
"FBgn0260400"	729.569152230683	-1.10407868052128	0.142608282946651	-7.74203754303885	9.78360887692149e-15	3.92835190715248e-12	"X"	"elav"
"FBgn0038223"	669.106721129121	-1.070664460654	0.139428059970056	-7.67897409519961	1.60367657446076e-14	6.14645494356959e-12	"3R"	"Afti"
"FBgn0026375"	1282.61138695629	-0.939224236496786	0.122788094992962	-7.64914739128917	2.02316239436852e-14	7.41708926491971e-12	"X"	"RhoGAPp190"
"FBgn0028734"	2874.35770436314	-0.855692589811051	0.111997794194136	-7.64026288167605	2.16778676279022e-14	7.61615749326963e-12	"3R"	"Fmr1"
"FBgn0259735"	2975.61548539083	-0.868777415434232	0.114048323693498	-7.61762547048961	2.58384708715398e-14	8.71479945555293e-12	"2L"	"mtgo"
"FBgn0039902"	1248.51970675362	-0.822891465222596	0.10867065137461	-7.57234317466195	3.66551594030226e-14	1.18875501571649e-11	"4"	"Zip102B"
