""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0065064"	2394.36954024411	-4.47999018721552	0.156027583228722	-28.7128089438409	2.64021174141632e-181	2.22622654036224e-177	"3R"	"snoRNA:Psi28S-291"
"FBgn0033912"	7043.5568719985	-1.93191626396341	0.0707240075836907	-27.3162725072854	2.71821051335797e-164	1.14599755243172e-160	"2R"	"RpS23"
"FBgn0266019"	2461.0882362698	2.84817491147661	0.107202892508318	26.5680789467095	1.58782701396882e-155	4.46285246059504e-152	"X"	"rudhira"
"FBgn0267033"	1664.97491966188	2.2428610918435	0.0889557866854365	25.2132118147035	2.86956832531738e-140	6.04905002976904e-137	"X"	"mamo"
"FBgn0013678"	28846.7242719261	3.01757770416013	0.123655311640151	24.4031385642501	1.58389333270836e-131	2.67107771627938e-128	"MT"	"CYTB"
"FBgn0034138"	3199.70954606498	-2.00520758571876	0.0876081941498008	-22.888356565027	6.0685406467802e-116	8.52832245560844e-113	"2R"	"RpS15"
"FBgn0266414"	683.715901587286	2.2576354832169	0.0996541410039821	22.6547081784257	1.25372122978125e-113	1.51019677278792e-110	"3R"	"CR45054"
"FBgn0015521"	1442.05723059475	-1.74216197846203	0.0773426541053662	-22.5252417131772	2.34875204779883e-112	2.47558465837996e-109	"2L"	"RpS21"
"FBgn0066084"	4387.56897980536	-2.4396448255824	0.108901872229061	-22.402230334947	3.7436036832779e-111	3.50734069526658e-108	"2R"	"RpL41"
"FBgn0013674"	92516.6401261216	2.73071955825478	0.123548251917728	22.1024540280278	2.99347937561531e-108	2.52410180951883e-105	"MT"	"COX1"
"FBgn0016726"	1159.76024880827	-2.66863278242204	0.123060015432555	-21.6856204108363	2.80450586852208e-104	2.14978122576165e-101	"2R"	"RpL29"
"FBgn0262743"	3909.72954457046	1.34171812421992	0.0624068920664678	21.4995183992002	1.57311864747938e-102	1.10537803629551e-99	"2L"	"Fs(2)Ket"
"FBgn0041721"	638.103777516206	-6.05235653858208	0.285091016309735	-21.2295589560301	5.09383042893336e-100	3.30393678282816e-97	"3L"	"snRNA:U12"
"FBgn0017579"	4011.82155610362	-2.39029097084098	0.112775868100558	-21.1950571616053	1.06069784438889e-99	6.38843158849079e-97	"3L"	"RpL14"
"FBgn0002590"	7192.48079411696	-1.30779051930728	0.0626614248976646	-20.8707433870694	9.87856091298386e-97	5.55306837455199e-94	"X"	"RpS5a"
"FBgn0051324"	1992.38144565523	1.65390744736474	0.0799974261352842	20.6745082594009	5.8762519445192e-95	3.09678477476162e-92	"3R"	"CG31324"
"FBgn0033699"	4161.68854198421	-2.71114446824119	0.131163133044802	-20.6700191227906	6.44906979689014e-95	3.19873861925751e-92	"2R"	"RpS11"
"FBgn0003930"	1436.16437904556	-6.11804131934669	0.296831009196967	-20.6111933382505	2.17795735524909e-94	1.02025202330335e-91	"2L"	"snRNA:U4:39B"
"FBgn0028737"	2389.52018393955	-1.73331724579476	0.0849405317224805	-20.4062443529067	1.47168022124865e-92	6.53116190819401e-90	"2R"	"eEF1beta"
"FBgn0284245"	61100.7046867357	-1.00396493610149	0.0496010387371129	-20.2408046618244	4.28122284620668e-91	1.80496355196074e-88	"2R"	"eEF1alpha1"
"FBgn0261703"	1712.11358257768	1.50145857958696	0.0744171954420058	20.1762317253284	1.58368882348455e-90	6.35888769505796e-88	"X"	"gce"
"FBgn0035498"	734.086378427384	1.629089280658	0.0825623562714119	19.7316229118099	1.1540534950802e-86	4.4231723047801e-84	"3L"	"Fit1"
"FBgn0261608"	2323.54690491003	-2.18123799833306	0.111064497052815	-19.6393812263501	7.12611576007038e-86	2.6124960038658e-83	"2L"	"RpL37A"
"FBgn0261596"	2513.2261222893	-2.03073444940169	0.105898687827953	-19.1762003009981	5.85026039277992e-82	2.05539148466335e-79	"2R"	"RpS24"
"FBgn0004191"	3024.8788843108	-5.26128718051066	0.275371093789155	-19.1061709060106	2.24338435269376e-81	7.56648674476551e-79	"2L"	"snRNA:U2:34ABa"
"FBgn0267508"	844.379550106321	-2.77668682473678	0.1453858532359	-19.0987414726754	2.58646698160057e-81	8.38811138032925e-79	"X; Y"	"28SrRNA-Psi:CR45848"
"FBgn0039713"	7091.22121878014	-2.22972282077175	0.116897441354418	-19.0741798531888	4.13863953865257e-81	1.29248179962661e-78	"3R"	"RpS8"
"FBgn0003256"	1123.65460512428	1.76528441517598	0.0928972875941984	19.0025399114691	1.62487593833419e-80	4.8931978257264e-78	"2R"	"rl"
"FBgn0085819"	1318.21103416142	-2.62486025091032	0.138830115770924	-18.9069946123323	9.98898922401074e-80	2.90438472885719e-77	"X"	"28SrRNA-Psi:CR41609"
"FBgn0029785"	4700.99748875377	-1.6333872321716	0.0868249141819307	-18.8124255297166	5.97408138789062e-79	1.62495013750625e-76	"X"	"RpL35"
"FBgn0010409"	4743.7903005306	-1.69102097151979	0.089884060423013	-18.8133576026884	5.86994983235272e-79	1.62495013750625e-76	"2R"	"RpL18A"
