""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0082957"	2475.05491294284	5.35491771538509	0.416060225921821	12.8705350373753	6.59437635765191e-38	5.56037814477209e-34	"3R"	"snoRNA:Psi28S-3405d"
"FBgn0262871"	427.86675406486	-1.47162311712432	0.124229090310349	-11.8460427702394	2.2559466329789e-32	9.51107100463905e-29	"3R"	"lute"
"FBgn0086661"	336.750978486705	2.80387849545291	0.238107409152941	11.775687726088	5.20905236550572e-32	1.46409098486481e-28	"3L"	"snoRNA:Psi28S-2566"
"FBgn0024555"	2542.26969330848	-1.3421158239345	0.118966453021796	-11.2814645628597	1.62025796929178e-29	3.41550379926707e-26	"3R"	"flfl"
"FBgn0083046"	740.442689622229	4.39751775589411	0.421364496201137	10.4363746721436	1.69147528852822e-25	2.85250392657399e-22	"2R"	"snoRNA:Psi18S-1389a"
"FBgn0083004"	856.640322198266	3.19045662381601	0.315699041680896	10.1060066791108	5.19591605800868e-24	7.30199403352153e-21	"2R"	"snoRNA:Psi28S-1175b"
"FBgn0002183"	1765.55581647131	-0.847525245511624	0.0865167958261675	-9.79607759878787	1.17042657234201e-22	1.40986240828398e-19	"3L"	"dre4"
"FBgn0082959"	243.875427726793	4.8377968328976	0.513893593342879	9.4140049527135	4.77584393822078e-21	5.03373951088471e-18	"3R"	"snoRNA:Psi28S-3405b"
"FBgn0083039"	233.9623181619	2.10415000709652	0.224042553809372	9.39174264584954	5.90156288236036e-21	5.52910869156251e-18	"3R"	"snoRNA:Psi18S-301"
"FBgn0050394"	387.348072932471	-1.1085233757011	0.125258588862347	-8.84987916412908	8.76141058221007e-19	7.38762140291953e-16	"2R"	"CG30394"
"FBgn0263485"	495.628777269027	3.56169806324826	0.405878662361278	8.77527791810338	1.70482311164306e-18	1.30682440703403e-15	"2R"	"scaRNA:PsiU2-55"
"FBgn0037899"	587.510173368133	1.30628469563444	0.14925040587738	8.75230246748978	2.09043215416074e-18	1.35588645568334e-15	"3R"	"RpL24-like"
"FBgn0027495"	312.448627623295	-1.12007850952101	0.127942105600458	-8.7545730489916	2.04877570330081e-18	1.35588645568334e-15	"2R"	"Smyd4-4"
"FBgn0031263"	1611.12146743691	0.779980578427802	0.0896957091124949	8.6958516315375	3.44238016199703e-18	2.07329639471135e-15	"2L"	"Tspo"
"FBgn0082958"	116.441394818571	2.72678189265539	0.316350441220719	8.61949767521552	6.72484665549414e-18	3.78026046660844e-15	"3R"	"snoRNA:Psi28S-3405c"
"FBgn0011474"	942.076956181122	-1.16125499069849	0.136787692535392	-8.48946984318805	2.07581872341268e-17	1.09395646723848e-14	"3R"	"PR-Set7"
"FBgn0086670"	395.819159887188	4.22574345739109	0.501591364954512	8.42467345460445	3.61757723881466e-17	1.79431831045207e-14	"3L"	"snoRNA:Psi28S-2622"
"FBgn0263474"	181.488992953703	6.47934980445949	0.789974968394416	8.20196849734167	2.36482276416826e-16	1.10778808597038e-13	"2L"	"scaRNA:PsiU2-38.40.42"
"FBgn0026401"	5656.67308638071	-0.863519243462782	0.105547903985814	-8.18130167301891	2.80793951369583e-16	1.24613399892017e-13	"2R"	"Nipped-B"
"FBgn0024921"	3725.97365932495	-0.925144913472984	0.114024699888973	-8.1135483309652	4.91626282689458e-16	2.07269640781876e-13	"3L"	"Tnpo"
"FBgn0083020"	40.9826898461354	4.13400091499454	0.517266567631785	7.99201257858466	1.32753489882598e-15	5.33036869852414e-13	"2L"	"snoRNA:Psi18S-640g"
"FBgn0087035"	3598.43412342999	-0.728680737055874	0.0940025385116246	-7.75171339618411	9.06608309175674e-15	3.47478239225876e-12	"3L"	"AGO2"
"FBgn0010412"	5768.26240202348	-0.664013428573145	0.0858455644077016	-7.73497656116026	1.03422156540054e-14	3.7915461910684e-12	"X"	"RpS19a"
"FBgn0086662"	363.360386580686	4.22612609001495	0.547012489660423	7.72583107314142	1.11125917757419e-14	3.90422391054397e-12	"3R"	"snoRNA:Psi28S-3186"
"FBgn0004587"	2674.24565190007	0.548717438725312	0.0713598461218253	7.68944257234724	1.4777744650567e-14	4.98423771574324e-12	"3R"	"B52"
"FBgn0011509"	750.902859258084	-0.809111100221282	0.106530214445835	-7.59513255868525	3.07477513512909e-14	9.97173228438788e-12	"3L"	"SrpRbeta"
"FBgn0025366"	1346.93258183194	-0.789858313088763	0.104787575325341	-7.53770960570884	4.78297474366195e-14	1.49370529772435e-11	"2L"	"Ip259"
"FBgn0015756"	5248.84132261663	1.10311474226671	0.1464838135287	7.53062550525816	5.04978268318609e-14	1.52070598516518e-11	"2L"	"RpL9"
"FBgn0082967"	188.664300608978	3.76577816119283	0.507134077054028	7.42560662274651	1.1226419040877e-13	3.26417811560947e-11	"3L"	"snoRNA:Psi28S-3327a"
"FBgn0038805"	368.848718728146	1.01723686041542	0.137703875524148	7.38713312565437	1.50028371361831e-13	4.0807717010418e-11	"3R"	"TFAM"
"FBgn0004924"	1704.30553817795	-0.758810164654229	0.10267828887341	-7.3901715053876	1.46639546378314e-13	4.0807717010418e-11	"X"	"Top1"
"FBgn0259927"	481.99663038365	-0.82635860057159	0.111931229219064	-7.38273497340316	1.5507051826984e-13	4.08610815641029e-11	"X"	"CG42450"
"FBgn0030891"	527.117297781768	0.815896852731711	0.110944464174004	7.35410152102829	1.92215607550078e-13	4.91140000867351e-11	"X"	"Ada3"
"FBgn0038516"	285.887177980479	1.18586709592881	0.162236838257469	7.3094810566195	2.68176056421838e-13	6.65076619926159e-11	"3R"	"P5cr-2"
"FBgn0082960"	64.5971684203576	2.38387976924225	0.328957343191291	7.24677475236055	4.26812886254957e-13	1.02825321625766e-10	"3R"	"snoRNA:Psi28S-3405a"
"FBgn0033226"	1237.5835398793	0.632888458309061	0.0878512529671479	7.20409142651307	5.84321515128899e-13	1.36861083765747e-10	"2R"	"CG1882"
"FBgn0082976"	101.321935923633	2.0065639836826	0.279801385977666	7.17138686311857	7.42417780261887e-13	1.6919099251806e-10	"3R"	"snoRNA:Psi28S-3305a"
"FBgn0031091"	198.516751998012	-1.25301596646971	0.174999179792165	-7.16012479577242	8.06036497789466e-13	1.78855256562126e-10	"X"	"Phf7"
"FBgn0030245"	1928.08649466057	-0.789172975432509	0.110344619245498	-7.15189359325928	8.55889056343136e-13	1.85047603156034e-10	"X"	"CG1637"
"FBgn0083005"	442.423588687451	3.69628064730079	0.519671855327494	7.11272047813984	1.13777568150086e-12	2.39843113660382e-10	"2R"	"snoRNA:Psi28S-1175a"
"FBgn0037010"	638.702397059294	-0.890595390963201	0.126056310011144	-7.06505997902422	1.60546633371625e-12	3.30177856729156e-10	"3L"	"CG4825"
"FBgn0027532"	1010.54703168977	-0.650789299593522	0.0924975493756073	-7.0357463953001	1.98197138889234e-12	3.96545567765851e-10	"3L"	"CG7139"
"FBgn0002774"	861.564062958612	-0.666607358538427	0.0947835687962195	-7.03294217557479	2.02223190392927e-12	3.96545567765851e-10	"2R"	"mle"
"FBgn0015040"	735.409324643483	-0.972034583924111	0.139059595883005	-6.99005759186809	2.74773426064408e-12	5.26565801948884e-10	"2R"	"Cyp9c1"
"FBgn0034176"	737.265341913892	-0.843594149864984	0.12137256217199	-6.95045185475755	3.64118051803175e-12	6.82276313956526e-10	"2R"	"ste24a"
"FBgn0010213"	214.38561807352	-1.47056049421572	0.213031460551519	-6.90302028821741	5.09083558056245e-12	9.33172295984839e-10	"2R"	"Sod2"
"FBgn0082973"	230.146051663072	3.98870776961998	0.578196532773284	6.89853284053503	5.25423446897268e-12	9.42632022178248e-10	"3L"	"snoRNA:Psi28S-3308"
"FBgn0033005"	1541.73842967751	-0.713227098085773	0.104187418175279	-6.84561639569454	7.61472759802490e-12	1.33765381471971e-09	"2R"	"CG3107"
"FBgn0033376"	270.33154575122	-0.963911438235044	0.142160525190155	-6.78044370577352	1.19807354404067e-11	2.06166451496957e-09	"2R"	"CG8777"
"FBgn0038223"	669.106721129121	-0.816184865904336	0.120535220040458	-6.77133924532915	1.27595684713831e-11	2.15177362701404e-09	"3R"	"Afti"
