""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0019660"	226014.568817039	7.5079269792093	0.412751589405986	18.1899408068044	6.2007094717573e-74	4.99033098287028e-70	"X"	"roX2"
"FBgn0019661"	139.277107169295	6.46936573436714	0.577318691606543	11.2058830389926	3.81529950327746e-29	1.53527652011885e-25	"X"	"roX1"
"FBgn0046696"	3264.62591791063	-3.63366132895491	0.333050312839362	-10.9102474577392	1.02975655867349e-27	2.76249359473475e-24	"3R"	"RNaseP:RNA"
"FBgn0261599"	13537.0367051136	2.74030113860554	0.271394112195072	10.0971281817487	5.68836105688288e-24	1.14449824464484e-20	"3R"	"RpS29"
"FBgn0002774"	1308.91467864878	3.50161000631759	0.371725933349389	9.41987010367232	4.51646416712029e-21	7.26970072339682e-18	"2R"	"mle"
"FBgn0065099"	35138.3737226009	-1.2809826531698	0.169548389445755	-7.55526288015634	4.18014709662114e-14	5.60697063893448e-11	"3R"	"snRNA:7SK"
"FBgn0041721"	936.781530763757	-2.57292503447596	0.34303012911148	-7.50058031677966	6.35359120226437e-14	7.30481457083195e-11	"3L"	"snRNA:U12"
"FBgn0065098"	23280.6602867039	-1.86120257324661	0.262670050505412	-7.0857053161006	1.38337902700987e-12	1.39167930117193e-09	"3R"	"RNaseMRP:RNA"
"FBgn0066084"	5608.56461490725	-2.37597136982935	0.356025258806151	-6.67360337802049	2.49597614700457e-11	2.23195733678809e-08	"2R"	"RpL41"
"FBgn0267910"	2591.21036077142	-2.57412131057904	0.391378870672512	-6.57705743326381	4.79849465979909e-11	3.86182850220631e-08	"X"	"CR34335"
"FBgn0065064"	3045.69225587592	-2.39898431242024	0.365948585005441	-6.55552285407682	5.54472562497824e-11	4.05672289362044e-08	"3R"	"snoRNA:Psi28S-291"
"FBgn0040007"	2995.21692915165	-2.62397618150416	0.408917133958893	-6.41688978913744	1.39086535839233e-10	9.32807033695122e-08	"2R"	"RpL38"
"FBgn0004191"	7661.24559798497	-2.26128003344413	0.365621211103762	-6.18476161877379	6.21963844468875e-10	3.85043463098885e-07	"2L"	"snRNA:U2:34ABa"
"FBgn0263489"	75.7197877213692	-2.36956361462046	0.385660605486537	-6.14416816472892	8.038364642438e-10	4.62091133159579e-07	"2L"	"CR43604"
"FBgn0065073"	130.132732417819	-2.85601854110993	0.481118007217314	-5.93621211068059	2.91682393630686e-09	1.56497326929318e-06	"2R"	"snoRNA:229"
"FBgn0019936"	2839.684899268	-1.58949273329591	0.271122103995553	-5.86264531689377	4.55550624724205e-09	2.29141964236275e-06	"3R"	"RpS20"
"FBgn0264691"	231.252817242004	1.04764050578345	0.179218404366019	5.84560781851312	5.04721895462991e-09	2.38941283216833e-06	"X"	"Lst8"
