""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0019660"	3445.59132419612	3.14133840105962	0.133258706922112	23.5732319006795	7.25463533516767e-123	5.56938354680822e-119	"X"	"roX2"
"FBgn0013674"	135674.100918149	2.85983631741644	0.13065552509442	21.8883687876937	3.35299024641891e-106	1.2870453060879e-102	"MT"	"COX1"
"FBgn0013678"	56226.1045448044	2.9292312127005	0.138852465219231	21.095997165593	8.65612216070987e-99	2.21510166092566e-95	"MT"	"CYTB"
"FBgn0083004"	469.883068706213	4.24340190272937	0.212273567448042	19.9902510413504	6.69580958415703e-89	1.28509325443934e-85	"2R"	"snoRNA:Psi28S-1175b"
"FBgn0019661"	5567.08297556237	2.40013476525209	0.123325380561226	19.4618070856916	2.31477392756632e-84	3.55410388838533e-81	"X"	"roX1"
"FBgn0263472"	433.901551112735	3.66266777705427	0.192658259515184	19.0112159544636	1.37722830009948e-80	1.76216360997729e-77	"2R"	"snoRNA:2R:9445205"
"FBgn0004867"	2029.40685583983	-2.7276994656055	0.145738330797718	-18.7164176416395	3.63811458324429e-78	3.98997223650949e-75	"2L"	"RpS2"
"FBgn0004838"	6325.00111576922	2.13556517268839	0.117254362682646	18.2130977801516	4.06294033213616e-74	3.89889911622617e-71	"2L"	"Hrb27C"
"FBgn0013686"	197732.350877568	2.37894355791057	0.131349521295942	18.1115510314698	2.58365358112964e-73	2.20385650470358e-70	"MT"	"lrRNA"
"FBgn0013672"	15971.9793330006	2.54570618001596	0.143219299820875	17.7748821785883	1.10629893019207e-70	8.49305688708453e-68	"MT"	"ATP6"
"FBgn0262952"	14680.5784200345	2.72911843269733	0.156199702488584	17.4719822715206	2.34213932767057e-68	1.634600328957e-65	"MT"	"ND4"
"FBgn0065098"	7129.35393812533	-2.1144808653321	0.123411099459471	-17.1336360715797	8.32831210600583e-66	5.32803766981723e-63	"3R"	"RNaseMRP:RNA"
"FBgn0083987"	608.404965533837	-3.15612514758872	0.18909881746172	-16.6903484112355	1.5406903955505e-62	9.09836935895475e-60	"3L"	"snRNA:U11"
"FBgn0267508"	618.094417635529	-2.99178056184413	0.18690321768644	-16.0071110539323	1.13980628541328e-57	6.2502091807984e-55	"X; Y"	"28SrRNA-Psi:CR45848"
"FBgn0013676"	36648.7579725977	1.81721799646204	0.113595379744035	15.9972879227728	1.33463678699725e-57	6.83067107585191e-55	"MT"	"COX3"
"FBgn0083003"	289.025157535635	3.45836441170316	0.218080967354722	15.8581670544313	1.23444366191594e-56	5.92301499533042e-54	"2R"	"snoRNA:Psi28S-1175c"
"FBgn0013684"	28656.9385026131	2.5230275060201	0.159460135220225	15.8223088330863	2.18336922457645e-56	9.85983855121963e-54	"MT"	"ND5"
"FBgn0010408"	1449.68826346632	-2.17301138532228	0.137501271256566	-15.8035730540092	2.9397146340902e-56	1.25378829143947e-53	"3L"	"RpS9"
"FBgn0263485"	243.380084713876	3.62884904417038	0.23088419670969	15.7171824485381	1.15340016180812e-55	4.66034370642153e-53	"2R"	"scaRNA:PsiU2-55"
"FBgn0260441"	864.990185367617	-2.38206677330862	0.152095753361844	-15.6616257893904	2.76731614680219e-55	1.06223430295002e-52	NA	NA
"FBgn0036213"	1667.90951368653	-2.12982732063003	0.136050685119714	-15.6546607520274	3.08755268421148e-55	1.12872104555674e-52	"3L"	"RpL10Ab"
"FBgn0017579"	1627.82923830155	-2.12063543665231	0.135875969366462	-15.6071411783851	6.50888541621298e-55	2.27130515183032e-52	"3L"	"RpL14"
"FBgn0004191"	245.967528984027	-5.09006000790084	0.32731666677774	-15.5508732812472	1.56951040524772e-54	5.23875277438554e-52	"2L"	"snRNA:U2:34ABa"
"FBgn0011284"	2267.64014303975	-2.15639118274347	0.138776480216344	-15.5385925582043	1.90112896889891e-54	6.0812362892654e-52	"3L"	"RpS4"
"FBgn0002622"	1756.88468731017	-2.08242478545779	0.134316631064533	-15.5038491432776	3.26718369303874e-54	1.00328676845834e-51	"3R"	"RpS3"
"FBgn0034743"	1224.4953694625	-2.55169449272779	0.165199633446557	-15.4461268435761	8.01151414098737e-54	2.36555361770616e-51	"2R"	"RpS16"
"FBgn0085819"	665.146291159144	-2.77138764754612	0.1799797309029	-15.3983319879576	1.67945858811679e-53	4.7752605855454e-51	"X"	"28SrRNA-Psi:CR41609"
"FBgn0262656"	1631.81394546042	2.03122615164621	0.132114796579559	15.3747059696149	2.41939243216423e-53	6.63345560775886e-51	"X"	"Myc"
"FBgn0003517"	2344.07689640245	-2.1687189684213	0.143953765661997	-15.0653854621174	2.73565427087098e-51	7.24193718533673e-49	"X"	"sta"
"FBgn0000100"	2102.80839662121	-2.00703826513292	0.133833741164897	-14.9965042272863	7.73893134560458e-51	1.98039253134021e-48	"3L"	"RpLP0"
"FBgn0014163"	1398.78759845019	2.21499879117823	0.148808096712735	14.8849346245867	4.12889868913559e-50	1.02250178182238e-47	"3L"	"fax"
"FBgn0003279"	2906.41701356406	-2.00535149711292	0.136067104695365	-14.7379596383904	3.67727698833891e-49	8.82201732483683e-47	"3R"	"RpL4"
"FBgn0013325"	1271.87278995297	-2.29272950217437	0.156742351934171	-14.6273771822517	1.8789182214212e-48	4.37104702601532e-46	"2R"	"RpL11"
"FBgn0265297"	26391.8672529718	1.6544608778347	0.113462170506412	14.5816078649862	3.6775216161869e-48	8.30362748454906e-46	"2R"	"pAbp"
