""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0004191"	4058.58936919565	-5.27129794680205	0.252401897655161	-20.884541660633	7.4011360486862e-97	7.52769547511873e-93	"2L"	"snRNA:U2:34ABa"
"FBgn0003930"	851.388794313674	-4.30489455905727	0.244795136300846	-17.5857029845833	3.1702525911826e-69	1.61223195524591e-65	"2L"	"snRNA:U4:39B"
"FBgn0085819"	1715.19314353665	-3.56617197133898	0.20921718199635	-17.0453111800406	3.78723123401558e-65	1.28399762937241e-61	"X"	"28SrRNA-Psi:CR41609"
"FBgn0065064"	1174.07381840837	-4.0068441072036	0.238567030849913	-16.7954645406321	2.63433806018869e-63	6.69846310254478e-60	"3R"	"snoRNA:Psi28S-291"
"FBgn0083987"	1075.51661536214	-4.88238872486783	0.292235088904794	-16.7070584958346	1.16439338008674e-62	2.36860901377245e-59	"3L"	"snRNA:U11"
"FBgn0041721"	344.515899595156	-5.94454954321744	0.362725210679253	-16.3885756164713	2.30789349237689e-60	3.91226411849422e-57	"3L"	"snRNA:U12"
"FBgn0082957"	921.145241912869	3.76343317296403	0.240364358193365	15.6572014305735	2.96667291142714e-55	4.31057574030363e-52	"3R"	"snoRNA:Psi28S-3405d"
"FBgn0267508"	1093.5529577776	-3.45443360072199	0.222833137366028	-15.5023334570194	3.34518885169152e-54	4.2529894763193e-51	"X; Y"	"28SrRNA-Psi:CR45848"
"FBgn0046696"	3063.24347881286	-3.51351916571043	0.262026784804967	-13.4090076643334	5.35505564149762e-41	6.0518078810747e-38	"3R"	"RNaseP:RNA"
"FBgn0267519"	3343.3180800814	-2.53451829506338	0.19866748997361	-12.7575895552918	2.8281776822704e-37	2.87653952063722e-34	"X"	"28SrRNA-Psi:CR45859"
"FBgn0039359"	1623.48437608389	-2.90313885690201	0.232087232155216	-12.5088262285813	6.68040592378694e-36	6.17694624098518e-33	"3R"	"RpL27"
"FBgn0065098"	9484.27683311764	-2.80879187817409	0.225716106312051	-12.4439142782791	1.50922638320131e-35	1.27919512862837e-32	"3R"	"RNaseMRP:RNA"
"FBgn0285949"	1225.0909477094	-2.5590939508583	0.210481930891644	-12.158259571344	5.18516206129371e-34	4.05679102503218e-31	"2R"	"RpL31"
"FBgn0034743"	1610.9846786323	-2.58157442434166	0.212585861230229	-12.1436788382922	6.19755816390351e-34	4.5025260060759e-31	"2R"	"RpS16"
"FBgn0267520"	247.703755949172	-3.63986784272752	0.308237408254534	-11.8086505571764	3.52168013154778e-32	2.38793390786483e-29	"X"	"28SrRNA-Psi:CR45860"
"FBgn0013679"	13686.4502559593	2.9292083516659	0.250186747304459	11.7080875914713	1.15863501271774e-31	7.3652979464701e-29	"MT"	"ND1"
"FBgn0004867"	2940.38642351092	-2.94521324403874	0.253808946621969	-11.604056055697	3.93000228139482e-31	2.35129724729804e-28	"2L"	"RpS2"
"FBgn0033699"	1548.2731752807	-2.58757241717369	0.227679560796282	-11.3649745639177	6.24826639274556e-30	3.53061763781195e-27	"2R"	"RpS11"
"FBgn0262952"	23108.0173984857	2.60620957797044	0.229557686516236	11.3531793141943	7.15141393771706e-30	3.82826479792211e-27	"MT"	"ND4"
"FBgn0004187"	131.42576754229	-4.9688543728095	0.442923828509703	-11.21830448709	3.31566374674165e-29	1.68618079840547e-26	"3R"	"snRNA:U1:95Cc"
"FBgn0036213"	2922.34585169234	-2.30538806976619	0.20627996993543	-11.1760151530361	5.34358662253987e-29	2.58807712085015e-26	"3L"	"RpL10Ab"
"FBgn0086667"	1031.94609430703	-2.38261027733794	0.213883483278569	-11.1397581562422	8.03372071977895e-29	3.71413515640326e-26	"X"	"snoRNA:Psi28S-3342"
"FBgn0085771"	453.89264922171	-2.79573346990346	0.253024923956725	-11.0492414193221	2.21075008026969e-28	9.77632133322741e-26	"X"	"28SrRNA-Psi:CR40741"
"FBgn0036825"	1731.10289689583	-2.30757128845773	0.210655218213131	-10.9542564766805	6.33968399481395e-28	2.6867052463022e-25	"3L"	"RpL26"
"FBgn0003517"	2752.81050317037	-2.23961181882202	0.206737709831747	-10.8331074221763	2.39874157940088e-27	9.75904024163456e-25	"X"	"sta"
"FBgn0013325"	1917.56716955703	-2.60403642036078	0.240466407592748	-10.8291068446074	2.50587570895412e-27	9.80279301375862e-25	"2R"	"RpL11"
"FBgn0013674"	236547.761685317	2.47493340772036	0.229031427631567	10.8060864542209	3.22120882089797e-27	1.21344129323531e-24	"MT"	"COX1"
"FBgn0013678"	90872.8854090904	2.6038884147793	0.244880937555815	10.6332834265052	2.0863518418336e-26	7.57867306546055e-24	"MT"	"CYTB"
"FBgn0083004"	288.081338813958	3.22828552292173	0.304898348638054	10.5880715239755	3.38493389997804e-26	1.18717802402333e-23	"2R"	"snoRNA:Psi28S-1175b"
"FBgn0260441"	1632.48149227759	-2.37122460446192	0.224036481963023	-10.5841003379677	3.53156958365899e-26	1.19731980784652e-23	NA	NA
"FBgn0011284"	3262.57692533563	-2.25157265159861	0.217177406795696	-10.3674350146225	3.4876050778709e-25	1.14427197571048e-22	"3L"	"RpS4"
"FBgn0086670"	1914.85773384108	2.32158442406742	0.224437987632515	10.3439905541689	4.45587261258301e-25	1.41627126070568e-22	"3L"	"snoRNA:Psi28S-2622"
"FBgn0065055"	110.137968166786	-4.35858637270499	0.423489002770304	-10.2920886828059	7.64986769098372e-25	2.35778194803016e-22	"2L"	"snoRNA:Psi28S-2648"
"FBgn0002622"	2758.06368066727	-2.120705377998	0.208257078143263	-10.1831130874656	2.35891691542688e-24	7.05663057259023e-22	"3R"	"RpS3"
"FBgn0005593"	2835.53374741287	-2.1601132287344	0.21362307149468	-10.111797445943	4.89773331593379e-24	1.42328130161036e-21	"2L"	"RpL7"
"FBgn0011272"	2235.22920029541	-2.28176088909671	0.22702928836857	-10.0505133302114	9.13901085233095e-24	2.58202442719606e-21	"2L"	"RpL13"
"FBgn0026372"	2912.54918207551	-2.12004973363279	0.21122665634117	-10.0368474810704	1.0497556244959e-23	2.88569309641832e-21	"3L"	"RpL23A"
"FBgn0014869"	481.223088132655	-2.50778719677471	0.250272060279245	-10.0202443452002	1.24195518497787e-23	3.32419110168683e-21	"3R"	"Pglym78"
"FBgn0000100"	2631.13765999972	-2.04333781965212	0.205273286265613	-9.95423153604186	2.41682798525039e-23	6.30296344563635e-21	"3L"	"RpLP0"
"FBgn0039713"	2910.43927119831	-2.1985906423584	0.221239107761492	-9.9376220804895	2.85562336857104e-23	7.26113632043401e-21	"3R"	"RpS8"
"FBgn0013684"	33564.5427077881	2.4701742187372	0.248844125901976	9.92659243927759	3.18969976103416e-23	7.91278933401914e-21	"MT"	"ND5"
"FBgn0004047"	77139.4487836035	-1.88842795485439	0.190347504311549	-9.92094937984334	3.37530220034318e-23	8.11341931266471e-21	"X"	"Yp3"
"FBgn0085813"	1665.30225533478	-2.46111408258224	0.248112646853402	-9.91934153214041	3.43011533226411e-23	8.11341931266471e-21	"X"	"18SrRNA-Psi:CR41602"
"FBgn0003279"	4197.7559414709	-1.98342034894794	0.201442924809475	-9.84606607962956	7.12794823355587e-23	1.64769003371583e-20	"3R"	"RpL4"
"FBgn0261597"	2678.61391804773	-2.04100238252886	0.210012212170082	-9.71849380299809	2.51473657764798e-22	5.68386349583501e-20	"2L"	"RpS26"
"FBgn0010408"	2319.08547764653	-1.9643522926725	0.203118200344599	-9.67098117913556	4.00519477830445e-22	8.85583393263794e-20	"3L"	"RpS9"
"FBgn0086710"	948.478393088576	-2.09357847269205	0.216866246204669	-9.65377742885915	4.73776552300366e-22	1.02527261988234e-19	"2L"	"RpL30"
"FBgn0016726"	797.972406710579	-2.26380556063399	0.235735086592298	-9.60317614725388	7.7518115591299e-22	1.6425765701648e-19	"2R"	"RpL29"
"FBgn0002626"	1583.58415566835	-2.18144679180632	0.230575635592534	-9.46087294175915	3.05382974314019e-21	6.33887802397529e-19	"3R"	"RpL32"
"FBgn0065073"	98.0735761003654	-4.10292080892333	0.435353781171285	-9.42433713998014	4.32830741200876e-21	8.80464293750823e-19	"2R"	"snoRNA:229"
"FBgn0267515"	3482.11504706607	-1.86347786725712	0.197777963527534	-9.42207025504987	4.42280147887055e-21	8.82045369442987e-19	"X"	"28SrRNA-Psi:CR45855"
"FBgn0034138"	1773.23209951986	-1.97717685983407	0.211310541071707	-9.35673558832601	8.22382647053432e-21	1.57819884965669e-18	"2R"	"RpS15"
"FBgn0035753"	1589.03377235013	-2.25854741098994	0.241344050045817	-9.35820630573315	8.11017659521577e-21	1.57819884965669e-18	"3L"	"RpL18"
"FBgn0262656"	3477.95623625622	1.84176557439946	0.197513121766605	9.32477578161017	1.1121849763101e-20	2.09482099889815e-18	"X"	"Myc"
"FBgn0038834"	1410.52660702208	-2.01047559567248	0.216266899380481	-9.2962704946143	1.45458466662797e-20	2.68992375350421e-18	"3R"	"RpS30"
"FBgn0019936"	1456.34420314189	-2.4753482659007	0.266526874153958	-9.28742466874403	1.58066492542552e-20	2.8708826708041e-18	"3R"	"RpS20"
"FBgn0263474"	244.15398417617	2.76215952544984	0.298918292010767	9.24051688797402	2.45309310683426e-20	4.37726491045811e-18	"2L"	"scaRNA:PsiU2-38.40.42"
"FBgn0017579"	2132.13222889499	-2.01512486257168	0.218461909532079	-9.22414743553166	2.85825599453062e-20	5.01229684833983e-18	"3L"	"RpL14"
"FBgn0036015"	668.29325595465	-2.08798720871079	0.226419726609496	-9.22175483548713	2.9227709712067e-20	5.03855992341413e-18	"3L"	"CG3088"
"FBgn0020910"	5492.72019525492	-1.8995500064173	0.20657763086849	-9.19533251703606	3.73836568207001e-20	6.33715289205567e-18	"3R"	"RpL3"
"FBgn0261596"	1587.3059793318	-2.22883486783273	0.243436061307887	-9.15573007490373	5.39914794890656e-20	9.00241537513584e-18	"2R"	"RpS24"
"FBgn0002593"	2414.44605222159	-2.16030776235735	0.236689108336248	-9.12719549092368	7.02967059548687e-20	1.15320612301124e-17	"2L"	"RpLP1"
"FBgn0004838"	10385.7010779135	1.75521532977761	0.192444063631431	9.12065197884829	7.46737294439814e-20	1.18672890964802e-17	"2L"	"Hrb27C"
"FBgn0083015"	942.623285738449	2.50533916655691	0.274686578407735	9.12071926149254	7.46273809146043e-20	1.18672890964802e-17	"3L"	"snoRNA:Psi18S-920"
"FBgn0064225"	5202.74585013603	-1.77039252336895	0.195493739668718	-9.05600622490031	1.35314360460639e-19	2.11735747730025e-17	"2L"	"RpL5"
"FBgn0029996"	2408.60377609874	1.82131993390197	0.201753773378089	9.02743925630968	1.75735810436936e-19	2.70819534538497e-17	"X"	"UbcE2H"
"FBgn0083008"	147.519486982299	-2.96258251177477	0.328762147010096	-9.01132487032881	2.03581982982009e-19	3.09049604314928e-17	"X"	"snoRNA:Psi28S-1135e"
"FBgn0037328"	1217.3360890114	-2.0371181950344	0.22786420604555	-8.94005350988378	3.88981970981387e-19	5.81814062772306e-17	"3R"	"RpL35A"
"FBgn0086662"	200.176410443124	2.9037582057237	0.326058703166435	8.90563011361021	5.30836510374842e-19	7.82483789423554e-17	"3R"	"snoRNA:Psi28S-3186"
"FBgn0003922"	88.1469160471461	-4.98926677878187	0.560556358308802	-8.90056228036462	5.5564476598053e-19	7.95980692223658e-17	"2L"	"snRNA:U2:38ABa"
"FBgn0086671"	271.262034532456	2.6828825960296	0.30140080928547	8.90137820926859	5.51574620325226e-19	7.95980692223658e-17	"X"	"snoRNA:Psi28S-2876"
"FBgn0083046"	417.966092818393	2.42893544277079	0.273083001514442	8.89449518754591	5.86854529089894e-19	8.29013529912959e-17	"2R"	"snoRNA:Psi18S-1389a"
"FBgn0005533"	1093.91986890243	-2.22151673396429	0.250514077189743	-8.86783193537534	7.45837832306503e-19	1.0391666564917e-16	"3L"	"RpS17"
"FBgn0014026"	4292.86415931172	-1.75702146547271	0.202575013601766	-8.67343624582823	4.19271929881869e-18	5.76272270111958e-16	"X"	"RpL7A"
"FBgn0000559"	15790.2405499304	-1.66688990051889	0.193783577695941	-8.6018119818922	7.84672664005113e-18	1.0641207554128e-15	"2L"	"eEF2"
"FBgn0020618"	2152.35961860762	-1.72019677079224	0.201091739967817	-8.55428856037321	1.18597892515924e-17	1.58718311155193e-15	"2L"	"Rack1"
"FBgn0261608"	1291.22799515343	-2.03841032542544	0.238434545952623	-8.54914004714094	1.24008974201366e-17	1.63804581376895e-15	"2L"	"RpL37A"
"FBgn0003076"	870.00961523875	-1.85274948126154	0.218443975761401	-8.48157736922552	2.22161258487125e-17	2.89692584624686e-15	"3L"	"Pgm1"
"FBgn0001105"	4845.4487063782	1.67504630794799	0.19784485112891	8.46646399130485	2.52954985668778e-17	3.25671539143942e-15	"X"	"Gbeta13F"
"FBgn0261504"	120.12961263318	-3.65601618120307	0.432482665548322	-8.45355541953989	2.82563723693589e-17	3.59244454210937e-15	"3R"	"7SLRNA:CR42652"
"FBgn0011206"	4857.0594168581	1.65087668961793	0.196583385063279	8.39784445204525	4.54749026276468e-17	5.71018808179994e-15	"3L"	"bol"
"FBgn0051451"	12036.6160461152	1.66703880381135	0.19909100049526	8.37325042148775	5.60503202480169e-17	6.95229033222659e-15	"3R"	"CR31451"
"FBgn0266549"	789.612928031523	1.92816845141122	0.230686355101744	8.35839835676802	6.3575457523855e-17	7.79067443945939e-15	"X"	"CR45102"
"FBgn0086675"	3386.79138489618	1.67673492859762	0.200883932059752	8.34678469007108	7.01464274767583e-17	8.49356326031081e-15	"X"	"fne"
"FBgn0033872"	6315.65935115147	1.65399208476709	0.198283615673382	8.34154692585183	7.33249189406885e-17	8.77397353583227e-15	"2R"	"CG6329"
"FBgn0000259"	1477.01889386499	1.72881345543628	0.207523393788914	8.33069189873971	8.03712436068719e-17	9.505301380529e-15	"X"	"CkIIbeta"
"FBgn0024811"	1208.53529527243	1.89121459631062	0.227502339750965	8.31294569708967	9.3355244864745e-17	1.08738339857838e-14	"4"	"Crk"
"FBgn0014163"	2770.59509980148	1.65423444688983	0.199016970531419	8.31202707222734	9.40809547486943e-17	1.08738339857838e-14	"3L"	"fax"
"FBgn0034968"	1730.92023014401	-1.73482225364589	0.208767867437338	-8.30981450805213	9.58517855937588e-17	1.09540282165632e-14	"2R"	"RpL12"
"FBgn0031830"	437.649423937763	-2.05173581161719	0.247362023453956	-8.29446567006716	1.09074371899798e-16	1.23266159621427e-14	"2L"	"COX5B"
"FBgn0082974"	92.0173381806896	-3.44985320683912	0.419245869880202	-8.22871125200328	1.89238330002357e-16	2.11510225764173e-14	"3R"	"snoRNA:Psi28S-3305c"
"FBgn0264270"	6400.35250168439	1.60322945956223	0.195053161689996	8.21944871680821	2.04440759220468e-16	2.26018148046889e-14	"X"	"Sxl"
"FBgn0014019"	483.937486264865	-1.92253645796148	0.23409354943565	-8.21268446993223	2.1629739415561e-16	2.36554924296421e-14	"2L"	"Rh5"
"FBgn0031453"	3941.15893794966	1.72353366552402	0.210697601464006	8.18012950099225	2.83538985529935e-16	3.06795215087763e-14	"2L"	"Bacc"
"FBgn0265598"	988.279904168887	1.74486475133777	0.214870320913233	8.12054798411346	4.64083440133349e-16	4.96862386273294e-14	"X"	"Bx"
"FBgn0083003"	194.813511827408	2.70072635907297	0.33670712403408	8.02099559615974	1.0489148935793e-15	1.11130347735365e-13	"2R"	"snoRNA:Psi28S-1175c"
"FBgn0019661"	947.097669752939	1.86760554171827	0.233259081287237	8.0065716259016	1.17950462208936e-15	1.23677747538875e-13	"X"	"roX1"
"FBgn0260960"	2550.86193938583	1.63302494857936	0.208164360436246	7.84488250129402	4.33359051831531e-15	4.49764787365154e-13	"3L"	"Baldspot"
"FBgn0010409"	2228.33378678474	-1.57960925223588	0.20243724977704	-7.80295747929606	6.04729302263347e-15	6.21283003365707e-13	"2R"	"RpL18A"
"FBgn0261592"	2671.94424460245	-1.76531586797766	0.226803813362273	-7.78344879571284	7.05737240767307e-15	7.17805347584428e-13	"X"	"RpS6"
"FBgn0267912"	2426.94395496272	1.55636461149811	0.20056099126801	7.76005643798567	8.489159953689e-15	8.54883622663078e-13	"X"	"CanA-14F"
"FBgn0016694"	5613.20227842155	1.50482706777837	0.194253529730446	7.74671672564476	9.42990018077993e-15	9.40308968026594e-13	"3L"	"Pdp1"
"FBgn0004045"	93310.9231820075	-1.49642376832256	0.19398704496809	-7.71403971109886	1.21896518832797e-14	1.20369853694017e-12	"X"	"Yp1"
"FBgn0052423"	9781.99795547887	1.49610780971182	0.19441579943092	7.69540240089089	1.41049561661327e-14	1.36630008729272e-12	"3L"	"shep"
"FBgn0011837"	1513.89737025106	1.58834138719863	0.206389773219853	7.69583377324939	1.40574465088476e-14	1.36630008729272e-12	"X"	"Tis11"
"FBgn0285926"	1730.73550587597	1.5815021933747	0.205683101759458	7.68902345329386	1.48262286115802e-14	1.42261859630549e-12	"X"	"Imp"
"FBgn0038826"	9497.67150157608	1.48676772923999	0.193471056978921	7.68470360609016	1.53351607975802e-14	1.45770019132886e-12	"3R"	"Syp"
"FBgn0036165"	4453.8042711399	1.50643198029248	0.196434502783938	7.66887669397587	1.73509133959057e-14	1.63403833471997e-12	"3L"	"chrb"
"FBgn0000150"	647.632340876002	-1.85676774211534	0.242973015313008	-7.64186812977309	2.14092393669028e-14	1.99773737248412e-12	"3R"	"awd"
"FBgn0024238"	1562.84162486988	1.62469207550742	0.212639295273719	7.6406012981563	2.16209613251562e-14	1.99915270580149e-12	"X"	"Fim"
"FBgn0285948"	2503.41771211545	-1.60447052596848	0.210088217446733	-7.63712760985886	2.22121325779024e-14	2.03531171576437e-12	"2L"	"RpL27A"
"FBgn0034471"	737.156263535256	-1.72073996832904	0.225627105948621	-7.62647715173407	2.41255663640239e-14	2.19090299543292e-12	"2R"	"Obp56e"
"FBgn0038224"	356.187181615963	-2.03185773789635	0.266965784799366	-7.61092939090814	2.72131880608443e-14	2.44942775014909e-12	"3R"	"ATPsynE"
"FBgn0259143"	1420.66591562512	1.57102769343364	0.207348827934433	7.57673775677395	3.54352020076798e-14	3.16150385631677e-12	"X"	"CG42258"
"FBgn0063491"	366.265239790077	-1.86575178861481	0.246330767082519	-7.57417277067057	3.61423163164769e-14	3.1965521674338e-12	"2R"	"GstE9"
"FBgn0040793"	222.406744663305	-2.26801664393243	0.299522703143154	-7.57210261570206	3.6723119133229e-14	3.21992107503511e-12	"3L"	"CG7630"
"FBgn0016120"	431.53315744677	-1.82269257140848	0.241024688473863	-7.56226502334485	3.96110265080245e-14	3.44345085994117e-12	"3R"	"ATPsynD"
"FBgn0266410"	5192.10511581873	1.47144874917167	0.194660364422458	7.55905678866544	4.06002628786848e-14	3.49953621812799e-12	"3R"	"CG45050"
"FBgn0263472"	177.676728329707	2.56969487098144	0.340877756504931	7.53846451387409	4.75537341692524e-14	4.06444563223080e-12	"2R"	"snoRNA:2R:9445205"
"FBgn0264001"	4345.20997135544	1.52402837302099	0.202463984525358	7.52740482014026	5.17587111027235e-14	4.38698208854834e-12	"3L"	"bru3"
"FBgn0267376"	1655.01814963487	1.54170005932757	0.205566470826485	7.49976420341863	6.39327359201632e-14	5.37404840532215e-12	"3R"	"SelR"
"FBgn0032629"	586.430518547834	1.7350600862325	0.231567706828174	7.49266860218955	6.7487150638705e-14	5.62632630447761e-12	"2L"	"beat-IIIc"
"FBgn0262734"	1661.96899342064	1.53581921566401	0.2053796433287	7.47795249213673	7.54894753814353e-14	6.24230450491527e-12	"X"	"eIF4H1"
"FBgn0260400"	4462.7615570441	1.45583287898249	0.195444856899798	7.44881652080964	9.41812430557083e-14	7.7251405090291e-12	"X"	"elav"
"FBgn0035422"	1162.03530654007	-1.56054585667677	0.210056845842264	-7.42915971350261	1.09289720763495e-13	8.89268599908405e-12	"3L"	"RpL28"
"FBgn0264307"	3444.26805763681	1.46318959884237	0.197651215145058	7.40288693782391	1.33255201898208e-13	1.07566560198942e-11	"3L"	"orb2"
"FBgn0004183"	62.0449960599191	-3.93854941223223	0.532762231819812	-7.39269636058644	1.43880790165634e-13	1.15229253289343e-11	"3R"	"snRNA:U1:82Eb"
"FBgn0030897"	2154.73114264147	1.49868325100647	0.203020814310727	7.38191921894624	1.56023854799797e-13	1.23978017747558e-11	"X"	"Frq1"
"FBgn0029897"	2041.53944369729	-1.552747054596	0.210879219886434	-7.3632056085574	1.79545497783044e-13	1.41562578135763e-11	"X"	"RpL17"
"FBgn0052544"	482.3946528403	1.8792622095312	0.255683079341247	7.34996705442149	1.9825571493422e-13	1.55112221276612e-11	"X"	"CG32544"
"FBgn0262477"	1186.60609762119	1.55965379291011	0.212319052644008	7.34580233609631	2.04528446755536e-13	1.58798384118363e-11	"3R"	"FoxP"
