""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0266019"	3079.72037487865	-1.68459513441605	0.196599457694638	-8.56866623219576	1.0469048504427e-17	9.65874415018438e-14	"X"	"rudhira"
"FBgn0285991"	69784.9871731121	-1.83644830355699	0.227907053449999	-8.05788270155444	7.7627252886988e-16	3.58094517567675e-12	"2L"	"hpRNA:CR18854"
"FBgn0011661"	21701.8906578435	-1.33083050380366	0.169757784612141	-7.83958454008056	4.52039538362057e-15	1.39017226030944e-11	"X"	"Moe"
"FBgn0062928"	1136.43725302491	-1.96497125739027	0.262790279475825	-7.47733615303317	7.58442368449281e-14	1.74934732282827e-10	"3L"	"hpRNA:CR33940"
"FBgn0082967"	1193.43835905548	1.52947512241242	0.205605892606265	7.43886813274057	1.0155163120949e-13	1.87383069907751e-10	"3L"	"snoRNA:Psi28S-3327a"
"FBgn0065046"	3238.11377759607	1.48386242010761	0.201099774499699	7.3787373645704	1.59797697006876e-13	2.45715592097573e-10	"X"	"snoRNA:U3:9B"
"FBgn0020224"	1724.85353467296	-1.22460516195151	0.169918076810818	-7.20703285333758	5.7184210593218e-13	7.53687895618613e-10	"3L"	"Cbl"
"FBgn0261599"	39448.4207238026	1.4275031308869	0.199347189573696	7.16088916999342	8.01554346769748e-13	9.24392550412212e-10	"3R"	"RpS29"
"FBgn0015756"	18369.7373035488	1.40300110135128	0.197187136847367	7.1150741563699	1.11852679908987e-12	1.14661424982257e-09	"2L"	"RpL9"
"FBgn0004838"	28948.221745491	-1.30103442404213	0.185076648079715	-7.02970600311367	2.06969170066848e-12	1.90949756303674e-09	"2L"	"Hrb27C"
"FBgn0267759"	175.019749660636	-1.83836961859251	0.263703651973002	-6.97134683133139	3.13920978983178e-12	2.63294086554436e-09	"3R"	"CR46090"
"FBgn0038952"	122.20031838154	-2.13895870509516	0.320046055934024	-6.68328406314153	2.3364604499744e-11	1.79634867595532e-08	"3R"	"CG7069"
"FBgn0032050"	1781.5352206281	-1.14192485640835	0.171964356226166	-6.64047411608078	3.12675742413652e-11	2.06053314250597e-08	"2L"	"CG13096"
"FBgn0082973"	1700.79431511527	1.45602937627847	0.219157375130421	6.64376170508514	3.0577679882588e-11	2.06053314250597e-08	"3L"	"snoRNA:Psi28S-3308"
"FBgn0065064"	3986.41184071486	1.04103828709554	0.162070023883851	6.42338578194821	1.33276155102001e-10	8.19737204647376e-08	"3R"	"snoRNA:Psi28S-291"
"FBgn0086672"	1633.71643446102	1.35018783461706	0.212313599505036	6.35940343795564	2.02538805555033e-10	1.16788938753171e-07	"2R"	"snoRNA:Or-aca5"
"FBgn0065100"	1354.80447298402	1.26594222618913	0.200238287197548	6.32217865976946	2.57900945636485e-10	1.32188562469012e-07	"2L"	"snmRNA:254"
"FBgn0082983"	902.829652710446	1.38930811533254	0.219458222261426	6.33062685469833	2.44167180523145e-10	1.32188562469012e-07	"3R"	"snoRNA:Psi28S-2626"
"FBgn0086601"	220.19830317478	1.63494222394101	0.260163074967854	6.28429773957364	3.29338994600752e-10	1.59920082325607e-07	"3L"	"snoRNA:Psi28S-3327c"
"FBgn0033741"	1933.2286233205	-1.2344342216113	0.198978440975189	-6.20385914957099	5.50950999517866e-10	2.54153696077591e-07	"2R"	"CG8545"
"FBgn0002723"	785.042203320232	-1.15721913700849	0.188660678429534	-6.13386502498305	8.57692961644426e-10	3.76813107815785e-07	"X"	"Met"
"FBgn0003942"	7906.38172961474	1.08418680261857	0.178657095105467	6.0685348207332	1.29082431763688e-09	5.4132477975081e-07	"2L"	"RpS27A"
"FBgn0004403"	3985.88055008923	1.15899331548619	0.191538531055065	6.05096692086981	1.43979013197194e-09	5.68625723951613e-07	"X"	"RpS14a"
"FBgn0082959"	2630.94206316346	1.30244997061714	0.215401444839164	6.04661668629778	1.47919113102522e-09	5.68625723951613e-07	"3R"	"snoRNA:Psi28S-3405b"
"FBgn0037363"	1321.92226506249	-1.16754879512375	0.193619615014543	-6.03011629289756	1.63841736209557e-09	6.0464154330775e-07	"3R"	"Atg17"
"FBgn0026169"	1349.39345270096	1.40904745781968	0.234043251005781	6.02045755117662	1.73924715216421e-09	6.17165162533345e-07	"2R"	"snoRNA:Psi18S-1820"
"FBgn0010411"	10346.7477108911	1.19878191577361	0.201723916418772	5.94268610810121	2.80389031330015e-09	9.39758765520905e-07	"2R"	"RpS18"
"FBgn0267912"	1137.63652632135	-1.1980632196897	0.201697765285838	-5.93989337458377	2.85207516091322e-09	9.39758765520905e-07	"X"	"CanA-14F"
"FBgn0029880"	340.051003584076	-1.23222367781242	0.208886296140177	-5.89901635761456	3.65674987266797e-09	1.1633508388012e-06	"X"	"CG14443"
"FBgn0037831"	961.502821212441	-1.06372114596216	0.181905033559561	-5.84767295960433	4.98497402933877e-09	1.53304567982265e-06	"3R"	"Cap-H2"
"FBgn0037255"	1453.3387432287	-1.14140370939698	0.196573777600957	-5.80649018056731	6.37960122223528e-09	1.89865164117235e-06	"3R"	"Fip1"
"FBgn0017545"	26849.8086465902	1.05346901152153	0.182188915280286	5.78228927869096	7.36908464066182e-09	2.12459921546081e-06	"4"	"RpS3A"
"FBgn0262734"	6613.67016173509	-1.26067572697257	0.218478974141578	-5.77023822052382	7.91595476458474e-09	2.21310905024421e-06	"X"	"eIF4H1"
"FBgn0017418"	1867.90481808593	-1.06942819979715	0.186047357151165	-5.74815045036214	9.02249405686038e-09	2.44828029907629e-06	"X"	"ari-1"
"FBgn0039300"	9967.90679894036	1.00933088291846	0.178301070484071	5.66082346100457	1.50648343509884e-08	3.97109033492055e-06	"3R"	"RpS27"
"FBgn0086670"	3246.03612492456	1.10795096314101	0.196312511919143	5.64381226805017	1.66325432482625e-08	4.2625512224575e-06	"3L"	"snoRNA:Psi28S-2622"
"FBgn0082582"	3418.8960936896	-1.00284639132711	0.179942150772284	-5.57315996848461	2.50159664745912e-08	6.23776504579941e-06	"3R"	"tmod"
"FBgn0010408"	9453.31692764323	1.06709870615594	0.192910695757205	5.53156838695444	3.1738007770131e-08	7.70565420229549e-06	"3L"	"RpS9"
"FBgn0083014"	92.6125276036177	2.01150937914405	0.36749509689553	5.4735679363795	4.4106368197486e-08	1.04339834100002e-05	"3L"	"snoRNA:Psi18S-996"
"FBgn0033571"	763.860304214055	1.23801031219735	0.226629638884833	5.46270257627897	4.68939919397165e-08	1.05522919423372e-05	"2R"	"Rpb5"
"FBgn0259937"	3487.93880109864	-1.03301329486204	0.188986057011326	-5.46608205493238	4.60091420793767e-08	1.05522919423372e-05	"2R"	"Nop60B"
"FBgn0031608"	206.203397661488	-1.40911839510647	0.260306669356061	-5.41330115971409	6.18732957325387e-08	1.35915006292477e-05	"2L"	"CG15435"
"FBgn0040007"	10656.3916232959	1.08818967937575	0.207279012860236	5.24987872317539	1.5219937978566e-07	3.26556157651744e-05	"2R"	"RpL38"
"FBgn0052666"	922.751720304011	-1.04329408767711	0.199285051800214	-5.23518486837152	1.6481981067085e-07	3.45597175738469e-05	"X"	"Drak"
"FBgn0086671"	2172.82609123008	1.08457443727519	0.208198908192145	5.20931856316101	1.89535448352915e-07	3.88589788111998e-05	"X"	"snoRNA:Psi28S-2876"
"FBgn0011766"	3557.92739754007	-0.908500437095061	0.175409422103391	-5.1793137803029	2.22703599660433e-07	4.46665958797207e-05	"3R"	"E2f1"
"FBgn0085430"	1522.06783719105	-0.991794233268	0.19254728192181	-5.15091266606791	2.59221885891395e-07	5.08847046645533e-05	"X"	"CG34401"
"FBgn0082978"	357.855816278324	1.31680124901356	0.25695926353033	5.12455254938933	2.9824516290828e-07	5.73252056873289e-05	"3R"	"snoRNA:Psi28S-3091b"
"FBgn0032518"	10605.2790203726	1.01042576448656	0.198103445787546	5.10049565503357	3.38765158178438e-07	6.37846397827402e-05	"2L"	"RpL24"
"FBgn0010314"	969.223960759375	-0.94341420218422	0.185293487128787	-5.09145905127526	3.55318615508777e-07	6.55633909336796e-05	"2L"	"Cks30A"
"FBgn0082960"	478.49992653235	1.1337471302634	0.222915047263466	5.08600538268471	3.65683678125202e-07	6.61528943996689e-05	"3R"	"snoRNA:Psi28S-3405a"
"FBgn0083027"	3003.45870604454	1.23829771027521	0.243727066655943	5.08067375226424	3.76098553763516e-07	6.67285626350422e-05	"X"	"snoRNA:Psi18S-531"
"FBgn0002579"	6966.72958126517	1.11084119930776	0.219012810821175	5.07203754493963	3.93578710953585e-07	6.85123997595806e-05	"X"	"RpL36"
"FBgn0033303"	44.4736824989309	-1.92835544504614	0.380727989354822	-5.06491642054977	4.08579571097825e-07	6.98065763508988e-05	"2R"	"Cyp6a15Psi"
"FBgn0024196"	402.469432267234	1.19479340933463	0.236652576394148	5.04872343897359	4.44772061665398e-07	7.46084916531811e-05	"2R"	"robl"
"FBgn0260008"	1100.15369403488	1.01157541698852	0.201019223258603	5.03223224421266	4.84801450406962e-07	7.9871038954547e-05	"3L"	"UQCR-11"
"FBgn0034245"	365.971160011173	1.16410003734791	0.231554928930499	5.02731702894268	4.97389686934633e-07	8.05073202045425e-05	"2R"	"UQCR-6.4"
"FBgn0030089"	3034.98389260796	-0.990179401704005	0.198119486665785	-4.99789000248307	5.79610299768533e-07	9.21980107873187e-05	"X"	"AP-1gamma"
"FBgn0082963"	903.507208531251	1.16063434412137	0.233098142200391	4.97916599920214	6.38588540823727e-07	9.98579301294865e-05	"2R"	"snoRNA:Psi28S-3378"
"FBgn0014133"	2853.43970207411	-0.796164126663244	0.160527277685492	-4.95968123388416	7.06089469645e-07	0.000108573024115746	"X"	"bif"
"FBgn0013749"	1921.1405924005	0.843158087586204	0.170190133123167	4.95421251581024	7.26238006053941e-07	0.000109840522030388	"4"	"Arf102F"
"FBgn0052230"	2061.38172193213	0.992341789915856	0.201086012378312	4.93491207160108	8.0186876733632e-07	0.00011932324592653	"3L"	"ND-MLRQ"
"FBgn0013759"	1274.03426327328	-0.87701980661883	0.177853290698637	-4.93114185952787	8.17503372808962e-07	0.000119718827262468	"3R"	"CASK"
"FBgn0264826"	91.3269469786123	-1.56729914740849	0.31826823999088	-4.92445978101178	8.4593724603398e-07	0.000121947141123586	"3R"	"CR44034"
"FBgn0034743"	6816.63910866493	0.889476431888542	0.181618936654131	4.89748727899685	9.70699161823999e-07	0.000137779545645973	"2R"	"RpS16"
"FBgn0041210"	3008.01305248078	-0.959274860591548	0.196010818942925	-4.89398935102083	9.88121877903924e-07	0.000138127461296085	"X"	"HDAC4"
"FBgn0083036"	192.470335061109	1.2812980119874	0.264170159261698	4.85027535119172	1.23290200542663e-06	0.000169772446299494	"2L"	"snoRNA:Psi18S-525c"
"FBgn0040773"	780.674291275868	1.0232803080613	0.21143784470164	4.83962702847851	1.30083023835188e-06	0.000173934199696151	"2R"	"COX7C"
"FBgn0260441"	4372.21042198463	0.975817247957974	0.201598455359311	4.84040041982844	1.29577773792453e-06	0.000173934199696151	NA	NA
"FBgn0004629"	983.202761481752	1.12410836593633	0.23270170590273	4.83068382148522	1.36064928038856e-06	0.000178261926451872	"3R"	"Cys"
"FBgn0259832"	61.0828067165703	1.84197161387441	0.381435382377079	4.82905283299984	1.37184010167818e-06	0.000178261926451872	"2R"	"CG34229"
"FBgn0039713"	14055.8501942503	0.891919215526935	0.184864595134593	4.82471624638327	1.40202727299308e-06	0.000179654216953253	"3R"	"RpS8"
"FBgn0015399"	1468.83508631456	-1.08720248836733	0.225548984978405	-4.82024997129303	1.43378451468671e-06	0.000181206793595885	"2L"	"kek1"
"FBgn0031505"	650.975370287818	1.06337027010425	0.220960405518546	4.81249239024859	1.49059550245765e-06	0.00018584100142803	"2L"	"ND-B14.5B"
"FBgn0036124"	685.150381937695	-1.03705729713801	0.216063942695337	-4.79977030966393	1.58847705168932e-06	0.000195403857051808	"3L"	"CG7839"
"FBgn0000382"	2634.06895565087	-0.965433632059856	0.202169932570435	-4.77535714527433	1.79388598447019e-06	0.000216139124119541	"X"	"csw"
"FBgn0030941"	1362.7585167224	-0.916932068179185	0.192058320642081	-4.77423766444348	1.80389253817523e-06	0.000216139124119541	"X"	"wgn"
"FBgn0035253"	1109.96756005097	-0.872493057057267	0.182999984401916	-4.7677220296426	1.86320610082292e-06	0.000220383839566568	"3L"	"CG7971"
"FBgn0014163"	2756.24509249599	-0.88618300626625	0.186272281848398	-4.75746040942093	1.96043689911968e-06	0.000226087385390977	"3L"	"fax"
"FBgn0263260"	2955.98501177153	0.863527242693828	0.181430757596276	4.75954162422322	1.94033108745762e-06	0.000226087385390977	"2R"	"sel"
