Species	snoRNA name	Box	Target RNA	Organization	Locus
Drosophila_melanogaster	snoRNA:28S-A2113	C/D	28S rRNA	Intronic	RpL30
Drosophila_melanogaster	snoRNA:28S-G3253	C/D	28S rRNA	Intronic	RpS9
Drosophila_melanogaster	snoRNA:Me18S-A1061	C/D	18S rRNA	Poly	Poly:3:snoRNA:Me18S-C1366
Drosophila_melanogaster	snoRNA:Me18S-A1374	C/D	18S rRNA	Intronic	Dys
Drosophila_melanogaster	snoRNA:Me18S-A1494	C/D	18S rRNA	Intronic	sif
Drosophila_melanogaster	snoRNA:Me18S-A1576	C/D	18S rRNA	Intronic	Uhg2
Drosophila_melanogaster	snoRNA:Me18S-A1597	C/D	18S rRNA	Intronic	nord
Drosophila_melanogaster	snoRNA:Me18S-A1806	C/D	18S rRNA	Mono	Mono:1:snoRNA:Me18S-A1806
Drosophila_melanogaster	snoRNA:Me18S-A28a	C/D	18S rRNA	Intronic	Uhg1
Drosophila_melanogaster	snoRNA:Me18S-A425	C/D	18S rRNA	Intronic	RpL3
Drosophila_melanogaster	snoRNA:Me18S-A469	C/D	18S rRNA	Intronic	CG9253
Drosophila_melanogaster	snoRNA:Me18S-A627	C/D	18S rRNA	Intronic	CG34104
Drosophila_melanogaster	snoRNA:Me18S-A934	C/D	18S rRNA	Intronic	crol
Drosophila_melanogaster	snoRNA:Me18S-C1024	C/D	18S rRNA	Intronic	csw
Drosophila_melanogaster	snoRNA:Me18S-C1096	C/D	18S rRNA	Intronic	RpL3
Drosophila_melanogaster	snoRNA:Me18S-C1280	C/D	18S rRNA	Intronic	tok
Drosophila_melanogaster	snoRNA:Me18S-C1366	C/D	18S rRNA	Poly	Poly:3:snoRNA:Me18S-C1366
Drosophila_melanogaster	snoRNA:Me18S-C1831	C/D	18S rRNA	Intronic	RpL27A
Drosophila_melanogaster	snoRNA:Me18S-G1189	C/D	18S rRNA	Intronic	NK7.1
Drosophila_melanogaster	snoRNA:Me18S-G1358a	C/D	18S rRNA	Intronic	CG33936
Drosophila_melanogaster	snoRNA:Me18S-G1358b	C/D	18S rRNA	Intronic	CG33936
Drosophila_melanogaster	snoRNA:Me18S-G1620	C/D	18S rRNA	Intronic	Uhg2
Drosophila_melanogaster	snoRNA:Me18S-G1952	C/D	18S rRNA	Poly	Poly:3:snoRNA:Me18S-C1366
Drosophila_melanogaster	snoRNA:Me18S-G393	C/D	18S rRNA	Intronic	CG13594
Drosophila_melanogaster	snoRNA:Me18S-G423	C/D	18S rRNA	Intronic	CG7918
Drosophila_melanogaster	snoRNA:Me18S-G642	C/D	18S rRNA	Intronic	ab
Drosophila_melanogaster	snoRNA:Me18S-G894	C/D	18S rRNA	Intronic	CG2556
Drosophila_melanogaster	snoRNA:Me18S-G962	C/D	18S rRNA	Intronic	klu
Drosophila_melanogaster	snoRNA:Me18S-U1356a	C/D	18S rRNA	Intronic	Poly:1:snoRNA:Or-CD11
Drosophila_melanogaster	snoRNA:Me18S-U1356b	C/D	18S rRNA	Intronic	Poly:1:snoRNA:Or-CD11
