""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"chr"	"symbol"
"FBgn0065064"	2394.36954024411	-4.5881135271135	0.180817894431498	-25.374222731322	4.85700148251041e-142	4.09542365005278e-138	"3R"	"snoRNA:Psi28S-291"
"FBgn0013678"	28846.7242719261	3.33414677268552	0.14481503518657	23.0234848777272	2.71242780939711e-117	1.14355956444182e-113	"MT"	"CYTB"
"FBgn0260960"	1298.67418533547	2.04660033670584	0.0924879950712347	22.1282809204539	1.68894161019833e-108	4.74705188573077e-105	"3L"	"Baldspot"
"FBgn0013686"	148862.511074803	2.43525657619429	0.115237815321365	21.1324431082197	4.00290642898701e-99	8.43812675230462e-96	"MT"	"lrRNA"
"FBgn0013674"	92516.6401261216	3.05687768997624	0.144785324152873	21.1131736442334	6.01919852041028e-99	1.01507763848199e-95	"MT"	"COX1"
"FBgn0262743"	3909.72954457046	1.44851449804171	0.0722964597083233	20.0357597576102	2.68707426810948e-89	3.77623503811652e-86	"2L"	"Fs(2)Ket"
"FBgn0041721"	638.103777516206	-6.86953045136409	0.343948916245911	-19.9725311721949	9.5489572725122e-89	1.15024011031176e-85	"3L"	"snRNA:U12"
"FBgn0261703"	1712.11358257768	1.64714996347524	0.0849447783052822	19.3908324482944	9.22320371327966e-84	9.72125671379676e-81	"X"	"gce"
"FBgn0033912"	7043.5568719985	-1.58092204862415	0.0820222601858766	-19.274304866039	8.82784169830518e-83	8.27070680001214e-80	"2R"	"RpS23"
"FBgn0004191"	3024.8788843108	-5.86562301461511	0.324381536357511	-18.0824811439034	4.37925846572982e-73	3.69259073830338e-70	"2L"	"snRNA:U2:34ABa"
"FBgn0011837"	2021.09072496198	2.0244129734865	0.112553624578336	17.9862086278485	2.49880355843697e-72	1.91544650952187e-69	"X"	"Tis11"
"FBgn0267978"	29767.4313510124	1.39372509575583	0.0781054160513392	17.8441543008967	3.20924801229828e-71	2.25503160330826e-68	"2R"	"ap"
"FBgn0013672"	6198.22711593579	2.29204523310706	0.129476370146678	17.7024211484343	4.01661893546243e-70	2.6052408356784e-67	"MT"	"ATP6"
"FBgn0265297"	49994.7740943334	1.39885690554793	0.0792228159977638	17.6572479522491	8.9498260820263e-70	5.39035239454613e-67	"2R"	"pAbp"
"FBgn0052066"	1622.2230857973	1.88730874869584	0.107219161211698	17.6023457688637	2.36329727751795e-69	1.32848817626875e-66	"3L"	"CG32066"
"FBgn0033699"	4161.68854198421	-2.67089290313205	0.153139122567249	-17.4409573357662	4.03262047056655e-68	2.12519098798857e-65	"2R"	"RpS11"
"FBgn0028341"	1192.56285605299	1.48704294143575	0.0858089391377562	17.3296973063433	2.80802489251701e-67	1.39278034668844e-64	"X"	"Ptpmeg2"
"FBgn0039920"	1562.4386526912	1.82589888667429	0.105462042054089	17.3133276305974	3.73208756249157e-67	1.74827568482938e-64	"4"	"CG11360"
"FBgn0267033"	1664.97491966188	1.78400299512066	0.104264425546627	17.1103709224663	1.24206007264476e-65	5.5121318592319e-63	"X"	"mamo"
"FBgn0017579"	4011.82155610362	-2.24547316635606	0.131555172395091	-17.0686802006718	2.53874313016737e-65	1.07033410367856e-62	"3L"	"RpL14"
"FBgn0026192"	1252.8895840385	1.51902359826351	0.0890952428616146	17.0494355195025	3.52925131156916e-65	1.41707843138815e-62	"X"	"par-6"
"FBgn0051324"	1992.38144565523	1.5595297959461	0.0917644859818626	16.994916707258	8.95574886618219e-65	3.43249429271128e-62	"3R"	"CG31324"
"FBgn0026250"	1845.76091719424	1.77221227077431	0.10448217269301	16.9618627283089	1.57278423872317e-64	5.76596378300598e-62	"3R"	"eIF1A"
"FBgn0034138"	3199.70954606498	-1.71768990433184	0.101424828248374	-16.9355958890606	2.45856088566681e-64	8.63774391164271e-62	"2R"	"RpS15"
"FBgn0028734"	2874.35770436314	1.44925978665819	0.0867226849693716	16.711426625802	1.08215294502775e-62	3.6498854529896e-60	"3R"	"Fmr1"
"FBgn0031453"	3178.17740957048	1.94492131306277	0.116545315395766	16.6881123145807	1.59948610951828e-62	5.18725649056082e-60	"2L"	"Bacc"
"FBgn0026206"	1599.42132702184	1.67704019001216	0.101290305869661	16.5567689386796	1.43073771196106e-61	4.46814088416875e-59	"X"	"mei-P26"
"FBgn0002590"	7192.48079411696	-1.20323888702471	0.0730469194308105	-16.4721373112032	5.81780498159773e-61	1.75199041445829e-58	"X"	"RpS5a"
"FBgn0264270"	1198.8925367056	1.714960833295	0.104462452115505	16.417007245807	1.44521257982084e-60	4.20208016312045e-58	"X"	"Sxl"
"FBgn0267508"	844.379550106321	-2.71896092164903	0.165798393425375	-16.3991994462409	1.93774713774874e-60	5.44636128849912e-58	"X; Y"	"28SrRNA-Psi:CR45848"
"FBgn0261596"	2513.2261222893	-2.02447286539233	0.123485491789475	-16.3944187779061	2.09636138152671e-60	5.70210295775265e-58	"2R"	"RpS24"
"FBgn0003930"	1436.16437904556	-5.56793724063896	0.33984746823544	-16.3836360751747	2.50321095359688e-60	6.59596086272779e-58	"2L"	"snRNA:U4:39B"
"FBgn0039713"	7091.22121878014	-2.23712739017215	0.136747990658173	-16.3594900327586	3.72231883507848e-60	9.5110886113278e-58	"3R"	"RpS8"
"FBgn0259984"	5496.31923194758	1.56359021430795	0.0957168503733471	16.3355794534516	5.51062329503896e-60	1.36663457716966e-57	"2L"	"kuz"
"FBgn0000150"	1421.12149331098	-1.85507910030261	0.113623641972403	-16.3265238475032	6.39243797865528e-60	1.54002962960061e-57	"3R"	"awd"
"FBgn0016726"	1159.76024880827	-2.30284687732139	0.141304972071675	-16.2969982128675	1.03659619423268e-59	2.42793864160277e-57	"2R"	"RpL29"
"FBgn0029996"	798.677854573968	2.11689313724876	0.130141568452889	16.2660797961342	1.71811332688562e-59	3.91544096548636e-57	"X"	"UbcE2H"
"FBgn0029911"	547.989070096001	1.93789576929764	0.119390096053798	16.2316292	3.01353537318067e-59	6.52246897635422e-57	"X"	"CG14435"
"FBgn0284245"	61100.7046867357	-0.942693976226675	0.0580778318780202	-16.2315628139597	3.01679660908224e-59	6.52246897635422e-57	"2R"	"eEF1alpha1"
"FBgn0030089"	1976.33795569376	1.49947411478705	0.0926987853021265	16.1757687536025	7.47587678989449e-59	1.57591482730976e-56	"X"	"AP-1gamma"
"FBgn0001297"	8741.04355843713	1.30093471617885	0.0807809466910044	16.1044747489165	2.37304549676957e-58	4.88037064116122e-56	"3R"	"kay"
"FBgn0261822"	4606.54874668052	1.78666100423262	0.111496433547063	16.0243780665725	8.63504973826793e-58	1.73358903316846e-55	"2L"	"Bsg"
"FBgn0260400"	729.569152230683	1.78874574596474	0.111814839858368	15.9973912964548	1.33242297283535e-57	2.61278848998783e-55	"X"	"elav"
"FBgn0038826"	2469.93764567112	1.91561332399371	0.11990406165634	15.976217131694	1.87165039475264e-57	3.56678692402896e-55	"3R"	"Syp"
"FBgn0261608"	2323.54690491003	-2.06147524357228	0.129042507974778	-15.9751641216956	1.90352717719762e-57	3.56678692402896e-55	"2L"	"RpL37A"
"FBgn0010409"	4743.7903005306	-1.67006012750035	0.104888116380159	-15.922300687023	4.43754977668498e-57	8.13422167761039e-55	"2R"	"RpL18A"
"FBgn0266019"	2461.0882362698	1.99122036191596	0.125111942112746	15.9155099688369	4.94623386559493e-57	8.87375403291413e-55	"X"	"rudhira"
"FBgn0010300"	5576.59100115784	1.66229909870573	0.104483880797437	15.9096224797434	5.43401697836082e-57	9.54575649198717e-55	"2L"	"brat"
"FBgn0266414"	683.715901587286	1.8114049219831	0.113943541561239	15.8973900333751	6.60601517474397e-57	1.13677387660084e-54	"3R"	"CR45054"
"FBgn0020496"	7555.97336424307	1.19896214798813	0.0754591627045696	15.8888875123382	7.56583862500588e-57	1.27590302572099e-54	"3R"	"CtBP"
"FBgn0052369"	3843.42502537131	1.18820336028887	0.0750707769505348	15.8277749152882	2.00175744599297e-56	3.30957231070838e-54	"3L"	"CG32369"
"FBgn0028737"	2389.52018393955	-1.55378744750777	0.0983866621714022	-15.7926634892936	3.4950519583102e-56	5.66736117547531e-54	"2R"	"eEF1beta"
"FBgn0002626"	2507.18058508682	-2.18901554092106	0.139361158997202	-15.7075009756844	1.34372301212145e-55	2.13778725249209e-53	"3R"	"RpL32"
"FBgn0029771"	518.677685730146	1.75908471971317	0.112067097401786	15.6967099219716	1.59291896979979e-55	2.48731347284293e-53	"X"	"CG12730"
"FBgn0036213"	4522.66855275562	-2.40332464053186	0.153291191371982	-15.6781653206664	2.13327456289066e-55	3.27050383896256e-53	"3L"	"RpL10Ab"
"FBgn0028863"	1620.25647389528	1.56208576747505	0.0997034213846309	15.6673236061671	2.53011260206096e-55	3.80962668938893e-53	"2L"	"CG4587"
"FBgn0001624"	2678.24642443408	1.70546466325322	0.108893340264895	15.6617903271632	2.76016534655539e-55	4.08310775476404e-53	"X"	"dlg1"
"FBgn0015399"	1033.85481859808	1.63352635383411	0.104441509799793	15.6405854048401	3.85170848033265e-55	5.59958722520084e-53	"2L"	"kek1"
"FBgn0000382"	1436.94427310331	1.68821633108745	0.108379406905463	15.5769105892971	1.04483866207023e-54	1.49323383026715e-52	"X"	"csw"
"FBgn0259745"	1560.08875051399	1.72084477989531	0.110549500969962	15.5662826588688	1.23371918168404e-54	1.7337866899933e-52	"2R"	"wech"
"FBgn0011661"	10024.3995032176	1.76076688402925	0.113174935580566	15.5579225647168	1.40588477275289e-54	1.94334760718891e-52	"X"	"Moe"
"FBgn0000286"	435.987265556486	2.15756302317598	0.139148510066249	15.5054698188918	3.18577841070824e-54	4.3326586385632e-52	"2L"	"Cf2"
"FBgn0020618"	3804.94509927217	-1.7631138266374	0.113872718010021	-15.4831978848722	4.50510469804508e-54	6.02968933554224e-52	"2L"	"Rack1"
"FBgn0015789"	1451.32552331956	1.57551166519878	0.101777731349398	15.4799251693882	4.74023893875582e-54	6.24526480181079e-52	"X"	"Rab10"
"FBgn0261597"	4732.83596097897	-2.10875330182208	0.136504247166278	-15.4482614687686	7.75058830584639e-54	1.00543016299841e-51	"2L"	"RpS26"
"FBgn0263987"	3671.57416091798	1.5266383015616	0.0989292225110946	15.4316213431313	1.00318014353121e-53	1.28163863185684e-51	"X"	"spoon"
"FBgn0022361"	389.727411782789	2.16752869547501	0.140589514296659	15.4174278666423	1.24983974134147e-53	1.55751219975227e-51	"4"	"Pur-alpha"
"FBgn0011272"	4106.72613881631	-1.98738991036267	0.12890809367824	-15.4171072867098	1.25605822560667e-53	1.55751219975227e-51	"2L"	"RpL13"
"FBgn0016694"	1797.17887615089	1.82885181630279	0.119353659520242	15.3229639011833	5.37113885505442e-53	6.56368736606071e-51	"3L"	"Pdp1"
"FBgn0029092"	1929.64040829855	1.49895059420385	0.0979769349963998	15.2990149595813	7.7622563100809e-53	9.35019217237173e-51	"2R"	"ced-6"
"FBgn0036921"	3356.37836847299	1.3838585616063	0.0906347742211668	15.2685166758336	1.23960815618158e-52	1.47216562998916e-50	"3L"	"RhoGDI"
"FBgn0014163"	1305.09793219283	2.24930948694639	0.147350436745313	15.2650344079685	1.30758837622656e-52	1.53133127615866e-50	"3L"	"fax"
"FBgn0015521"	1442.05723059475	-1.33659351525377	0.0876905324151159	-15.2421644440075	1.8561797401576e-52	2.14401473548067e-50	"2L"	"RpS21"
"FBgn0260798"	799.331181648935	1.63994475846583	0.107742169005795	15.2210111750918	2.56535122714826e-52	2.92311372261002e-50	"2R"	"Gprk1"
"FBgn0013763"	2893.14156391939	-1.04634491551291	0.0688215608234405	-15.2037370700916	3.34010241456089e-52	3.75516580794366e-50	"2R"	"Idgf6"
"FBgn0001226"	1734.24287917701	1.91793424066803	0.126242314450755	15.192483194026	3.96606063650033e-52	4.40023990618037e-50	"3L"	"Hsp27"
"FBgn0045800"	819.146937210207	1.40824011612775	0.0928081443556137	15.173669572918	5.28382654162466e-52	5.78613316869859e-50	"2R"	"Uhg1"
"FBgn0034743"	3310.96403376651	-2.65302051184191	0.175097738370302	-15.151654935892	7.38824777202732e-52	7.9868852838121e-50	"2R"	"RpS16"
"FBgn0031888"	7695.49769241772	1.30658535138588	0.0865288230091385	15.1000014324462	1.61929881959173e-51	1.72834527174651e-49	"2L"	"Pvf2"
"FBgn0085819"	1318.21103416142	-2.39514928878322	0.158943546319967	-15.0691823873212	2.58289652517904e-51	2.72237293753871e-49	"X"	"28SrRNA-Psi:CR41609"
"FBgn0085450"	1391.01922094424	1.28092113022845	0.0856514231248485	14.9550478380415	1.44377930760753e-50	1.50295643478354e-48	"2L"	"Snoo"
"FBgn0001092"	2409.44034270232	-1.17895505480008	0.0788895652065733	-14.9443725759291	1.6947989092692e-50	1.74274931743388e-48	"X"	"Gapdh2"
"FBgn0046696"	2141.8488950681	-3.50778832142985	0.23474379224143	-14.9430504122645	1.72876940635247e-50	1.7562630884776e-48	"3R"	"RNaseP:RNA"
"FBgn0037686"	2552.94763595639	-1.69494925032848	0.113473402601217	-14.9369738764695	1.89382105757737e-50	1.90103561398719e-48	"3R"	"RpL34b"
"FBgn0283521"	5131.11505893902	1.28475762352584	0.0860623207508272	14.9282242486296	2.15940343534846e-50	2.14212820786567e-48	"2R"	"lola"
"FBgn0261592"	4539.4383036949	-1.81178812798373	0.121599078440898	-14.8996863398461	3.31130299148148e-50	3.24661707257812e-48	"X"	"RpS6"
"FBgn0039902"	1248.51970675362	1.28583860457499	0.0863204713030043	14.8961026876395	3.49372696506051e-50	3.38610411142417e-48	"4"	"Zip102B"
"FBgn0039209"	2641.15051352462	1.66517700485079	0.111899401078316	14.8810180287324	4.37786931737453e-50	4.19479478228432e-48	"3R"	"REPTOR"
"FBgn0002593"	6680.28700320829	-2.04934489926144	0.137816742922669	-14.8700720667253	5.15578110929555e-50	4.88466812512136e-48	"2L"	"RpLP1"
"FBgn0262582"	2622.64836406206	1.11820427863949	0.0752155312419808	14.8666672983009	5.42473447712823e-50	5.08237345679391e-48	"3R"	"cic"
"FBgn0283535"	3952.40630547606	1.16140093562888	0.0781357663599534	14.86388359306	5.65497169139736e-50	5.23985948372116e-48	"3R"	"Vha26"
"FBgn0011739"	971.280282554022	1.22882118144862	0.0827030358805727	14.8582354730375	6.15244058926142e-50	5.63884554876656e-48	"3R"	"wts"
"FBgn0015776"	3356.20151649398	1.23236506894115	0.0830440475275799	14.8398964842347	8.08806704961447e-50	7.33318079165046e-48	"2L"	"nrv1"
"FBgn0032600"	1372.25054925987	1.49219597975374	0.100593462554422	14.8339260013687	8.84075365229978e-50	7.93034412725444e-48	"2L"	"BuGZ"
"FBgn0004396"	2203.38925786194	1.90578696254019	0.128769489604221	14.7999884786195	1.46507715244265e-49	1.30037163677857e-47	"3L"	"CrebA"
"FBgn0051361"	870.573525891721	1.55870135491797	0.105427156269952	14.7846286484939	1.84069705949659e-49	1.6167455839245e-47	"3R"	"dpr17"
"FBgn0040010"	1005.53919625887	1.37027440405774	0.0927425227284829	14.7750391486483	2.12233854046333e-49	1.84490294568936e-47	"2L"	"CG17493"
"FBgn0004395"	1135.87860124951	1.60539245308205	0.108738409552198	14.7638029624795	2.50734514838913e-49	2.15734023379766e-47	"3R"	"unk"
"FBgn0005533"	2019.51987337906	-2.28341772377404	0.154797250647251	-14.7510224776372	3.03038488097876e-49	2.5810308400417e-47	"3L"	"RpS17"
"FBgn0004636"	2088.37478227931	1.77972611211458	0.121054546928773	14.7018526545868	6.27199661291749e-49	5.28854754401203e-47	"3L"	"Rap1"
"FBgn0011284"	5780.7163731059	-2.2418269466062	0.153325672440476	-14.6213410378261	2.05315968072143e-48	1.71408340869734e-46	"3L"	"RpS4"
"FBgn0085478"	813.629000178047	1.45523578123087	0.0995488793802248	14.6183039958956	2.14681803659341e-48	1.77470291025055e-46	"X"	"CG34449"
"FBgn0261859"	1050.13271007458	1.25703864810383	0.0860976503140295	14.600150451481	2.80226283449026e-48	2.29404662334193e-46	"3R"	"CG42788"
"FBgn0083987"	1253.47706481356	-4.42683289999904	0.303777636682769	-14.5726095848916	4.19552956563118e-48	3.40160627859636e-46	"3L"	"snRNA:U11"
"FBgn0024921"	3725.97365932495	1.46006211451214	0.100288898450544	14.5585616859891	5.15306156771423e-48	4.1381538227587e-46	"3L"	"Tnpo"
